I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
-108120,-183530,-127960,22381,106980,99506,Spoofed
-108119,-183529,-127959,22382,106981,99507,Spoofed
-108118,-183528,-127958,22383,106982,99508,Spoofed
-108117,-183527,-127957,22384,106983,99509,Spoofed
-108116,-183526,-127956,22385,106984,99510,Spoofed
-108115,-183525,-127955,22386,106985,99511,Spoofed
-108114,-183524,-127954,22387,106986,99512,Spoofed
-108113,-183523,-127953,22388,106987,99513,Spoofed
-108112,-183522,-127952,22389,106988,99514,Spoofed
-108111,-183521,-127951,22390,106989,99515,Spoofed
-108110,-183520,-127950,22391,106990,99516,Spoofed
-108109,-183519,-127949,22392,106991,99517,Spoofed
-108108,-183518,-127948,22393,106992,99518,Spoofed
-108107,-183517,-127947,22394,106993,99519,Spoofed
-108106,-183516,-127946,22395,106994,99520,Spoofed
-108105,-183515,-127945,22396,106995,99521,Spoofed
-108104,-183514,-127944,22397,106996,99522,Spoofed
-108103,-183513,-127943,22398,106997,99523,Spoofed
-108102,-183512,-127942,22399,106998,99524,Spoofed
-108101,-183511,-127941,22400,106999,99525,Spoofed
-108100,-183510,-127940,22401,107000,99526,Spoofed
-108099,-183509,-127939,22402,107001,99527,Spoofed
-108098,-183508,-127938,22403,107002,99528,Spoofed
-108097,-183507,-127937,22404,107003,99529,Spoofed
-108096,-183506,-127936,22405,107004,99530,Spoofed
-108095,-183505,-127935,22406,107005,99531,Spoofed
-108094,-183504,-127934,22407,107006,99532,Spoofed
-108093,-183503,-127933,22408,107007,99533,Spoofed
-108092,-183502,-127932,22409,107008,99534,Spoofed
-108091,-183501,-127931,22410,107009,99535,Spoofed
-108090,-183500,-127930,22411,107010,99536,Spoofed
-108089,-183499,-127929,22412,107011,99537,Spoofed
-108088,-183498,-127928,22413,107012,99538,Spoofed
-108087,-183497,-127927,22414,107013,99539,Spoofed
-108086,-183496,-127926,22415,107014,99540,Spoofed
-108085,-183495,-127925,22416,107015,99541,Spoofed
-108084,-183494,-127924,22417,107016,99542,Spoofed
-108083,-183493,-127923,22418,107017,99543,Spoofed
-108082,-183492,-127922,22419,107018,99544,Spoofed
-108081,-183491,-127921,22420,107019,99545,Spoofed
-108080,-183490,-127920,22421,107020,99546,Spoofed
-108079,-183489,-127919,22422,107021,99547,Spoofed
-108078,-183488,-127918,22423,107022,99548,Spoofed
-108077,-183487,-127917,22424,107023,99549,Spoofed
-108076,-183486,-127916,22425,107024,99550,Spoofed
-108075,-183485,-127915,22426,107025,99551,Spoofed
-108074,-183484,-127914,22427,107026,99552,Spoofed
-108073,-183483,-127913,22428,107027,99553,Spoofed
-108072,-183482,-127912,22429,107028,99554,Spoofed
-108071,-183481,-127911,22430,107029,99555,Spoofed
-108070,-183480,-127910,22431,107030,99556,Spoofed
-108069,-183479,-127909,22432,107031,99557,Spoofed
-108068,-183478,-127908,22433,107032,99558,Spoofed
-108067,-183477,-127907,22434,107033,99559,Spoofed
-108066,-183476,-127906,22435,107034,99560,Spoofed
-108065,-183475,-127905,22436,107035,99561,Spoofed
-108064,-183474,-127904,22437,107036,99562,Spoofed
-108063,-183473,-127903,22438,107037,99563,Spoofed
-108062,-183472,-127902,22439,107038,99564,Spoofed
-108061,-183471,-127901,22440,107039,99565,Spoofed
-108060,-183470,-127900,22441,107040,99566,Spoofed
-108059,-183469,-127899,22442,107041,99567,Spoofed
-108058,-183468,-127898,22443,107042,99568,Spoofed
-108057,-183467,-127897,22444,107043,99569,Spoofed
-108056,-183466,-127896,22445,107044,99570,Spoofed
-108055,-183465,-127895,22446,107045,99571,Spoofed
-108054,-183464,-127894,22447,107046,99572,Spoofed
-108053,-183463,-127893,22448,107047,99573,Spoofed
-108052,-183462,-127892,22449,107048,99574,Spoofed
-108051,-183461,-127891,22450,107049,99575,Spoofed
-108050,-183460,-127890,22451,107050,99576,Spoofed
-108049,-183459,-127889,22452,107051,99577,Spoofed
-108048,-183458,-127888,22453,107052,99578,Spoofed
-108047,-183457,-127887,22454,107053,99579,Spoofed
-108046,-183456,-127886,22455,107054,99580,Spoofed
-108045,-183455,-127885,22456,107055,99581,Spoofed
-108044,-183454,-127884,22457,107056,99582,Spoofed
-108043,-183453,-127883,22458,107057,99583,Spoofed
-108042,-183452,-127882,22459,107058,99584,Spoofed
-108041,-183451,-127881,22460,107059,99585,Spoofed
-108040,-183450,-127880,22461,107060,99586,Spoofed
-108039,-183449,-127879,22462,107061,99587,Spoofed
-108038,-183448,-127878,22463,107062,99588,Spoofed
-108037,-183447,-127877,22464,107063,99589,Spoofed
-108036,-183446,-127876,22465,107064,99590,Spoofed
-108035,-183445,-127875,22466,107065,99591,Spoofed
-108034,-183444,-127874,22467,107066,99592,Spoofed
-108033,-183443,-127873,22468,107067,99593,Spoofed
-108032,-183442,-127872,22469,107068,99594,Spoofed
-108031,-183441,-127871,22470,107069,99595,Spoofed
-108030,-183440,-127870,22471,107070,99596,Spoofed
-108029,-183439,-127869,22472,107071,99597,Spoofed
-108028,-183438,-127868,22473,107072,99598,Spoofed
-108027,-183437,-127867,22474,107073,99599,Spoofed
-108026,-183436,-127866,22475,107074,99600,Spoofed
-108025,-183435,-127865,22476,107075,99601,Spoofed
-108024,-183434,-127864,22477,107076,99602,Spoofed
-108023,-183433,-127863,22478,107077,99603,Spoofed
-108022,-183432,-127862,22479,107078,99604,Spoofed
-108021,-183431,-127861,22480,107079,99605,Spoofed
-108020,-183430,-127860,22481,107080,99606,Spoofed
-108019,-183429,-127859,22482,107081,99607,Spoofed
-108018,-183428,-127858,22483,107082,99608,Spoofed
-108017,-183427,-127857,22484,107083,99609,Spoofed
-108016,-183426,-127856,22485,107084,99610,Spoofed
-108015,-183425,-127855,22486,107085,99611,Spoofed
-108014,-183424,-127854,22487,107086,99612,Spoofed
-108013,-183423,-127853,22488,107087,99613,Spoofed
-108012,-183422,-127852,22489,107088,99614,Spoofed
-108011,-183421,-127851,22490,107089,99615,Spoofed
-108010,-183420,-127850,22491,107090,99616,Spoofed
-108009,-183419,-127849,22492,107091,99617,Spoofed
-108008,-183418,-127848,22493,107092,99618,Spoofed
-108007,-183417,-127847,22494,107093,99619,Spoofed
-108006,-183416,-127846,22495,107094,99620,Spoofed
-108005,-183415,-127845,22496,107095,99621,Spoofed
-108004,-183414,-127844,22497,107096,99622,Spoofed
-108003,-183413,-127843,22498,107097,99623,Spoofed
-108002,-183412,-127842,22499,107098,99624,Spoofed
-108001,-183411,-127841,22500,107099,99625,Spoofed
-108000,-183410,-127840,22501,107100,99626,Spoofed
-107999,-183409,-127839,22502,107101,99627,Spoofed
-107998,-183408,-127838,22503,107102,99628,Spoofed
-107997,-183407,-127837,22504,107103,99629,Spoofed
-107996,-183406,-127836,22505,107104,99630,Spoofed
-107995,-183405,-127835,22506,107105,99631,Spoofed
-107994,-183404,-127834,22507,107106,99632,Spoofed
-107993,-183403,-127833,22508,107107,99633,Spoofed
-107992,-183402,-127832,22509,107108,99634,Spoofed
-107991,-183401,-127831,22510,107109,99635,Spoofed
-107990,-183400,-127830,22511,107110,99636,Spoofed
-107989,-183399,-127829,22512,107111,99637,Spoofed
-107988,-183398,-127828,22513,107112,99638,Spoofed
-107987,-183397,-127827,22514,107113,99639,Spoofed
-107986,-183396,-127826,22515,107114,99640,Spoofed
-107985,-183395,-127825,22516,107115,99641,Spoofed
-107984,-183394,-127824,22517,107116,99642,Spoofed
-107983,-183393,-127823,22518,107117,99643,Spoofed
-107982,-183392,-127822,22519,107118,99644,Spoofed
-107981,-183391,-127821,22520,107119,99645,Spoofed
-107980,-183390,-127820,22521,107120,99646,Spoofed
-107979,-183389,-127819,22522,107121,99647,Spoofed
-107978,-183388,-127818,22523,107122,99648,Spoofed
-107977,-183387,-127817,22524,107123,99649,Spoofed
-107976,-183386,-127816,22525,107124,99650,Spoofed
-107975,-183385,-127815,22526,107125,99651,Spoofed
-107974,-183384,-127814,22527,107126,99652,Spoofed
-107973,-183383,-127813,22528,107127,99653,Spoofed
-107972,-183382,-127812,22529,107128,99654,Spoofed
-107971,-183381,-127811,22530,107129,99655,Spoofed
-107970,-183380,-127810,22531,107130,99656,Spoofed
-107969,-183379,-127809,22532,107131,99657,Spoofed
-107968,-183378,-127808,22533,107132,99658,Spoofed
-107967,-183377,-127807,22534,107133,99659,Spoofed
-107966,-183376,-127806,22535,107134,99660,Spoofed
-107965,-183375,-127805,22536,107135,99661,Spoofed
-107964,-183374,-127804,22537,107136,99662,Spoofed
-107963,-183373,-127803,22538,107137,99663,Spoofed
-107962,-183372,-127802,22539,107138,99664,Spoofed
-107961,-183371,-127801,22540,107139,99665,Spoofed
-107960,-183370,-127800,22541,107140,99666,Spoofed
-107959,-183369,-127799,22542,107141,99667,Spoofed
-107958,-183368,-127798,22543,107142,99668,Spoofed
-107957,-183367,-127797,22544,107143,99669,Spoofed
-107956,-183366,-127796,22545,107144,99670,Spoofed
-107955,-183365,-127795,22546,107145,99671,Spoofed
-107954,-183364,-127794,22547,107146,99672,Spoofed
-107953,-183363,-127793,22548,107147,99673,Spoofed
-107952,-183362,-127792,22549,107148,99674,Spoofed
-107951,-183361,-127791,22550,107149,99675,Spoofed
-107950,-183360,-127790,22551,107150,99676,Spoofed
-107949,-183359,-127789,22552,107151,99677,Spoofed
-107948,-183358,-127788,22553,107152,99678,Spoofed
-107947,-183357,-127787,22554,107153,99679,Spoofed
-107946,-183356,-127786,22555,107154,99680,Spoofed
-107945,-183355,-127785,22556,107155,99681,Spoofed
-107944,-183354,-127784,22557,107156,99682,Spoofed
-107943,-183353,-127783,22558,107157,99683,Spoofed
-107942,-183352,-127782,22559,107158,99684,Spoofed
-107941,-183351,-127781,22560,107159,99685,Spoofed
-107940,-183350,-127780,22561,107160,99686,Spoofed
-107939,-183349,-127779,22562,107161,99687,Spoofed
-107938,-183348,-127778,22563,107162,99688,Spoofed
-107937,-183347,-127777,22564,107163,99689,Spoofed
-107936,-183346,-127776,22565,107164,99690,Spoofed
-107935,-183345,-127775,22566,107165,99691,Spoofed
-107934,-183344,-127774,22567,107166,99692,Spoofed
-107933,-183343,-127773,22568,107167,99693,Spoofed
-107932,-183342,-127772,22569,107168,99694,Spoofed
-107931,-183341,-127771,22570,107169,99695,Spoofed
-107930,-183340,-127770,22571,107170,99696,Spoofed
-107929,-183339,-127769,22572,107171,99697,Spoofed
-107928,-183338,-127768,22573,107172,99698,Spoofed
-107927,-183337,-127767,22574,107173,99699,Spoofed
-107926,-183336,-127766,22575,107174,99700,Spoofed
-107925,-183335,-127765,22576,107175,99701,Spoofed
-107924,-183334,-127764,22577,107176,99702,Spoofed
-107923,-183333,-127763,22578,107177,99703,Spoofed
-107922,-183332,-127762,22579,107178,99704,Spoofed
-107921,-183331,-127761,22580,107179,99705,Spoofed
-107920,-183330,-127760,22581,107180,99706,Spoofed
-107919,-183329,-127759,22582,107181,99707,Spoofed
-107918,-183328,-127758,22583,107182,99708,Spoofed
-107917,-183327,-127757,22584,107183,99709,Spoofed
-107916,-183326,-127756,22585,107184,99710,Spoofed
-107915,-183325,-127755,22586,107185,99711,Spoofed
-107914,-183324,-127754,22587,107186,99712,Spoofed
-107913,-183323,-127753,22588,107187,99713,Spoofed
-107912,-183322,-127752,22589,107188,99714,Spoofed
-107911,-183321,-127751,22590,107189,99715,Spoofed
-107910,-183320,-127750,22591,107190,99716,Spoofed
-107909,-183319,-127749,22592,107191,99717,Spoofed
-107908,-183318,-127748,22593,107192,99718,Spoofed
-107907,-183317,-127747,22594,107193,99719,Spoofed
-107906,-183316,-127746,22595,107194,99720,Spoofed
-107905,-183315,-127745,22596,107195,99721,Spoofed
-107904,-183314,-127744,22597,107196,99722,Spoofed
-107903,-183313,-127743,22598,107197,99723,Spoofed
-107902,-183312,-127742,22599,107198,99724,Spoofed
-107901,-183311,-127741,22600,107199,99725,Spoofed
-107900,-183310,-127740,22601,107200,99726,Spoofed
-107899,-183309,-127739,22602,107201,99727,Spoofed
-107898,-183308,-127738,22603,107202,99728,Spoofed
-107897,-183307,-127737,22604,107203,99729,Spoofed
-107896,-183306,-127736,22605,107204,99730,Spoofed
-107895,-183305,-127735,22606,107205,99731,Spoofed
-107894,-183304,-127734,22607,107206,99732,Spoofed
-107893,-183303,-127733,22608,107207,99733,Spoofed
-107892,-183302,-127732,22609,107208,99734,Spoofed
-107891,-183301,-127731,22610,107209,99735,Spoofed
-107890,-183300,-127730,22611,107210,99736,Spoofed
-107889,-183299,-127729,22612,107211,99737,Spoofed
-107888,-183298,-127728,22613,107212,99738,Spoofed
-107887,-183297,-127727,22614,107213,99739,Spoofed
-107886,-183296,-127726,22615,107214,99740,Spoofed
-107885,-183295,-127725,22616,107215,99741,Spoofed
-107884,-183294,-127724,22617,107216,99742,Spoofed
-107883,-183293,-127723,22618,107217,99743,Spoofed
-107882,-183292,-127722,22619,107218,99744,Spoofed
-107881,-183291,-127721,22620,107219,99745,Spoofed
-107880,-183290,-127720,22621,107220,99746,Spoofed
-107879,-183289,-127719,22622,107221,99747,Spoofed
-107878,-183288,-127718,22623,107222,99748,Spoofed
-107877,-183287,-127717,22624,107223,99749,Spoofed
-107876,-183286,-127716,22625,107224,99750,Spoofed
-107875,-183285,-127715,22626,107225,99751,Spoofed
-107874,-183284,-127714,22627,107226,99752,Spoofed
-107873,-183283,-127713,22628,107227,99753,Spoofed
-107872,-183282,-127712,22629,107228,99754,Spoofed
-107871,-183281,-127711,22630,107229,99755,Spoofed
-107870,-183280,-127710,22631,107230,99756,Spoofed
-107869,-183279,-127709,22632,107231,99757,Spoofed
-107868,-183278,-127708,22633,107232,99758,Spoofed
-107867,-183277,-127707,22634,107233,99759,Spoofed
-107866,-183276,-127706,22635,107234,99760,Spoofed
-107865,-183275,-127705,22636,107235,99761,Spoofed
-107864,-183274,-127704,22637,107236,99762,Spoofed
-107863,-183273,-127703,22638,107237,99763,Spoofed
-107862,-183272,-127702,22639,107238,99764,Spoofed
-107861,-183271,-127701,22640,107239,99765,Spoofed
-107860,-183270,-127700,22641,107240,99766,Spoofed
-107859,-183269,-127699,22642,107241,99767,Spoofed
-107858,-183268,-127698,22643,107242,99768,Spoofed
-107857,-183267,-127697,22644,107243,99769,Spoofed
-107856,-183266,-127696,22645,107244,99770,Spoofed
-107855,-183265,-127695,22646,107245,99771,Spoofed
-107854,-183264,-127694,22647,107246,99772,Spoofed
-107853,-183263,-127693,22648,107247,99773,Spoofed
-107852,-183262,-127692,22649,107248,99774,Spoofed
-107851,-183261,-127691,22650,107249,99775,Spoofed
-107850,-183260,-127690,22651,107250,99776,Spoofed
-107849,-183259,-127689,22652,107251,99777,Spoofed
-107848,-183258,-127688,22653,107252,99778,Spoofed
-107847,-183257,-127687,22654,107253,99779,Spoofed
-107846,-183256,-127686,22655,107254,99780,Spoofed
-107845,-183255,-127685,22656,107255,99781,Spoofed
-107844,-183254,-127684,22657,107256,99782,Spoofed
-107843,-183253,-127683,22658,107257,99783,Spoofed
-107842,-183252,-127682,22659,107258,99784,Spoofed
-107841,-183251,-127681,22660,107259,99785,Spoofed
-107840,-183250,-127680,22661,107260,99786,Spoofed
-107839,-183249,-127679,22662,107261,99787,Spoofed
-107838,-183248,-127678,22663,107262,99788,Spoofed
-107837,-183247,-127677,22664,107263,99789,Spoofed
-107836,-183246,-127676,22665,107264,99790,Spoofed
-107835,-183245,-127675,22666,107265,99791,Spoofed
-107834,-183244,-127674,22667,107266,99792,Spoofed
-107833,-183243,-127673,22668,107267,99793,Spoofed
-107832,-183242,-127672,22669,107268,99794,Spoofed
-107831,-183241,-127671,22670,107269,99795,Spoofed
-107830,-183240,-127670,22671,107270,99796,Spoofed
-107829,-183239,-127669,22672,107271,99797,Spoofed
-107828,-183238,-127668,22673,107272,99798,Spoofed
-107827,-183237,-127667,22674,107273,99799,Spoofed
-107826,-183236,-127666,22675,107274,99800,Spoofed
-107825,-183235,-127665,22676,107275,99801,Spoofed
-107824,-183234,-127664,22677,107276,99802,Spoofed
-107823,-183233,-127663,22678,107277,99803,Spoofed
-107822,-183232,-127662,22679,107278,99804,Spoofed
-107821,-183231,-127661,22680,107279,99805,Spoofed
-107820,-183230,-127660,22681,107280,99806,Spoofed
-107819,-183229,-127659,22682,107281,99807,Spoofed
-107818,-183228,-127658,22683,107282,99808,Spoofed
-107817,-183227,-127657,22684,107283,99809,Spoofed
-107816,-183226,-127656,22685,107284,99810,Spoofed
-107815,-183225,-127655,22686,107285,99811,Spoofed
-107814,-183224,-127654,22687,107286,99812,Spoofed
-107813,-183223,-127653,22688,107287,99813,Spoofed
-107812,-183222,-127652,22689,107288,99814,Spoofed
-107811,-183221,-127651,22690,107289,99815,Spoofed
-107810,-183220,-127650,22691,107290,99816,Spoofed
-107809,-183219,-127649,22692,107291,99817,Spoofed
-107808,-183218,-127648,22693,107292,99818,Spoofed
-107807,-183217,-127647,22694,107293,99819,Spoofed
-107806,-183216,-127646,22695,107294,99820,Spoofed
-107805,-183215,-127645,22696,107295,99821,Spoofed
-107804,-183214,-127644,22697,107296,99822,Spoofed
-107803,-183213,-127643,22698,107297,99823,Spoofed
-107802,-183212,-127642,22699,107298,99824,Spoofed
-107801,-183211,-127641,22700,107299,99825,Spoofed
-107800,-183210,-127640,22701,107300,99826,Spoofed
-107799,-183209,-127639,22702,107301,99827,Spoofed
-107798,-183208,-127638,22703,107302,99828,Spoofed
-107797,-183207,-127637,22704,107303,99829,Spoofed
-107796,-183206,-127636,22705,107304,99830,Spoofed
-107795,-183205,-127635,22706,107305,99831,Spoofed
-107794,-183204,-127634,22707,107306,99832,Spoofed
-107793,-183203,-127633,22708,107307,99833,Spoofed
-107792,-183202,-127632,22709,107308,99834,Spoofed
-107791,-183201,-127631,22710,107309,99835,Spoofed
-107790,-183200,-127630,22711,107310,99836,Spoofed
-107789,-183199,-127629,22712,107311,99837,Spoofed
-107788,-183198,-127628,22713,107312,99838,Spoofed
-107787,-183197,-127627,22714,107313,99839,Spoofed
-107786,-183196,-127626,22715,107314,99840,Spoofed
-107785,-183195,-127625,22716,107315,99841,Spoofed
-107784,-183194,-127624,22717,107316,99842,Spoofed
-107783,-183193,-127623,22718,107317,99843,Spoofed
-107782,-183192,-127622,22719,107318,99844,Spoofed
-107781,-183191,-127621,22720,107319,99845,Spoofed
-107780,-183190,-127620,22721,107320,99846,Spoofed
-107779,-183189,-127619,22722,107321,99847,Spoofed
-107778,-183188,-127618,22723,107322,99848,Spoofed
-107777,-183187,-127617,22724,107323,99849,Spoofed
-107776,-183186,-127616,22725,107324,99850,Spoofed
-107775,-183185,-127615,22726,107325,99851,Spoofed
-107774,-183184,-127614,22727,107326,99852,Spoofed
-107773,-183183,-127613,22728,107327,99853,Spoofed
-107772,-183182,-127612,22729,107328,99854,Spoofed
-107771,-183181,-127611,22730,107329,99855,Spoofed
-107770,-183180,-127610,22731,107330,99856,Spoofed
-107769,-183179,-127609,22732,107331,99857,Spoofed
-107768,-183178,-127608,22733,107332,99858,Spoofed
-107767,-183177,-127607,22734,107333,99859,Spoofed
-107766,-183176,-127606,22735,107334,99860,Spoofed
-107765,-183175,-127605,22736,107335,99861,Spoofed
-107764,-183174,-127604,22737,107336,99862,Spoofed
-107763,-183173,-127603,22738,107337,99863,Spoofed
-107762,-183172,-127602,22739,107338,99864,Spoofed
-107761,-183171,-127601,22740,107339,99865,Spoofed
-107760,-183170,-127600,22741,107340,99866,Spoofed
-107759,-183169,-127599,22742,107341,99867,Spoofed
-107758,-183168,-127598,22743,107342,99868,Spoofed
-107757,-183167,-127597,22744,107343,99869,Spoofed
-107756,-183166,-127596,22745,107344,99870,Spoofed
-107755,-183165,-127595,22746,107345,99871,Spoofed
-107754,-183164,-127594,22747,107346,99872,Spoofed
-107753,-183163,-127593,22748,107347,99873,Spoofed
-107752,-183162,-127592,22749,107348,99874,Spoofed
-107751,-183161,-127591,22750,107349,99875,Spoofed
-107750,-183160,-127590,22751,107350,99876,Spoofed
-107749,-183159,-127589,22752,107351,99877,Spoofed
-107748,-183158,-127588,22753,107352,99878,Spoofed
-107747,-183157,-127587,22754,107353,99879,Spoofed
-107746,-183156,-127586,22755,107354,99880,Spoofed
-107745,-183155,-127585,22756,107355,99881,Spoofed
-107744,-183154,-127584,22757,107356,99882,Spoofed
-107743,-183153,-127583,22758,107357,99883,Spoofed
-107742,-183152,-127582,22759,107358,99884,Spoofed
-107741,-183151,-127581,22760,107359,99885,Spoofed
-107740,-183150,-127580,22761,107360,99886,Spoofed
-107739,-183149,-127579,22762,107361,99887,Spoofed
-107738,-183148,-127578,22763,107362,99888,Spoofed
-107737,-183147,-127577,22764,107363,99889,Spoofed
-107736,-183146,-127576,22765,107364,99890,Spoofed
-107735,-183145,-127575,22766,107365,99891,Spoofed
-107734,-183144,-127574,22767,107366,99892,Spoofed
-107733,-183143,-127573,22768,107367,99893,Spoofed
-107732,-183142,-127572,22769,107368,99894,Spoofed
-107731,-183141,-127571,22770,107369,99895,Spoofed
-107730,-183140,-127570,22771,107370,99896,Spoofed
-107729,-183139,-127569,22772,107371,99897,Spoofed
-107728,-183138,-127568,22773,107372,99898,Spoofed
-107727,-183137,-127567,22774,107373,99899,Spoofed
-107726,-183136,-127566,22775,107374,99900,Spoofed
-107725,-183135,-127565,22776,107375,99901,Spoofed
-107724,-183134,-127564,22777,107376,99902,Spoofed
-107723,-183133,-127563,22778,107377,99903,Spoofed
-107722,-183132,-127562,22779,107378,99904,Spoofed
-107721,-183131,-127561,22780,107379,99905,Spoofed
-107720,-183130,-127560,22781,107380,99906,Spoofed
-107719,-183129,-127559,22782,107381,99907,Spoofed
-107718,-183128,-127558,22783,107382,99908,Spoofed
-107717,-183127,-127557,22784,107383,99909,Spoofed
-107716,-183126,-127556,22785,107384,99910,Spoofed
-107715,-183125,-127555,22786,107385,99911,Spoofed
-107714,-183124,-127554,22787,107386,99912,Spoofed
-107713,-183123,-127553,22788,107387,99913,Spoofed
-107712,-183122,-127552,22789,107388,99914,Spoofed
-107711,-183121,-127551,22790,107389,99915,Spoofed
-107710,-183120,-127550,22791,107390,99916,Spoofed
-107709,-183119,-127549,22792,107391,99917,Spoofed
-107708,-183118,-127548,22793,107392,99918,Spoofed
-107707,-183117,-127547,22794,107393,99919,Spoofed
-107706,-183116,-127546,22795,107394,99920,Spoofed
-107705,-183115,-127545,22796,107395,99921,Spoofed
-107704,-183114,-127544,22797,107396,99922,Spoofed
-107703,-183113,-127543,22798,107397,99923,Spoofed
-107702,-183112,-127542,22799,107398,99924,Spoofed
-107701,-183111,-127541,22800,107399,99925,Spoofed
-107700,-183110,-127540,22801,107400,99926,Spoofed
-107699,-183109,-127539,22802,107401,99927,Spoofed
-107698,-183108,-127538,22803,107402,99928,Spoofed
-107697,-183107,-127537,22804,107403,99929,Spoofed
-107696,-183106,-127536,22805,107404,99930,Spoofed
-107695,-183105,-127535,22806,107405,99931,Spoofed
-107694,-183104,-127534,22807,107406,99932,Spoofed
-107693,-183103,-127533,22808,107407,99933,Spoofed
-107692,-183102,-127532,22809,107408,99934,Spoofed
-107691,-183101,-127531,22810,107409,99935,Spoofed
-107690,-183100,-127530,22811,107410,99936,Spoofed
-107689,-183099,-127529,22812,107411,99937,Spoofed
-107688,-183098,-127528,22813,107412,99938,Spoofed
-107687,-183097,-127527,22814,107413,99939,Spoofed
-107686,-183096,-127526,22815,107414,99940,Spoofed
-107685,-183095,-127525,22816,107415,99941,Spoofed
-107684,-183094,-127524,22817,107416,99942,Spoofed
-107683,-183093,-127523,22818,107417,99943,Spoofed
-107682,-183092,-127522,22819,107418,99944,Spoofed
-107681,-183091,-127521,22820,107419,99945,Spoofed
-107680,-183090,-127520,22821,107420,99946,Spoofed
-107679,-183089,-127519,22822,107421,99947,Spoofed
-107678,-183088,-127518,22823,107422,99948,Spoofed
-107677,-183087,-127517,22824,107423,99949,Spoofed
-107676,-183086,-127516,22825,107424,99950,Spoofed
-107675,-183085,-127515,22826,107425,99951,Spoofed
-107674,-183084,-127514,22827,107426,99952,Spoofed
-107673,-183083,-127513,22828,107427,99953,Spoofed
-107672,-183082,-127512,22829,107428,99954,Spoofed
-107671,-183081,-127511,22830,107429,99955,Spoofed
-107670,-183080,-127510,22831,107430,99956,Spoofed
-107669,-183079,-127509,22832,107431,99957,Spoofed
-107668,-183078,-127508,22833,107432,99958,Spoofed
-107667,-183077,-127507,22834,107433,99959,Spoofed
-107666,-183076,-127506,22835,107434,99960,Spoofed
-107665,-183075,-127505,22836,107435,99961,Spoofed
-107664,-183074,-127504,22837,107436,99962,Spoofed
-107663,-183073,-127503,22838,107437,99963,Spoofed
-107662,-183072,-127502,22839,107438,99964,Spoofed
-107661,-183071,-127501,22840,107439,99965,Spoofed
-107660,-183070,-127500,22841,107440,99966,Spoofed
-107659,-183069,-127499,22842,107441,99967,Spoofed
-107658,-183068,-127498,22843,107442,99968,Spoofed
-107657,-183067,-127497,22844,107443,99969,Spoofed
-107656,-183066,-127496,22845,107444,99970,Spoofed
