I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
-99089,-169251,-156571,-281051,-57472,166669,Spoofed
-99088,-169250,-156570,-281050,-57471,166670,Spoofed
-99087,-169249,-156569,-281049,-57470,166671,Spoofed
-99086,-169248,-156568,-281048,-57469,166672,Spoofed
-99085,-169247,-156567,-281047,-57468,166673,Spoofed
-99084,-169246,-156566,-281046,-57467,166674,Spoofed
-99083,-169245,-156565,-281045,-57466,166675,Spoofed
-99082,-169244,-156564,-281044,-57465,166676,Spoofed
-99081,-169243,-156563,-281043,-57464,166677,Spoofed
-99080,-169242,-156562,-281042,-57463,166678,Spoofed
-99079,-169241,-156561,-281041,-57462,166679,Spoofed
-99078,-169240,-156560,-281040,-57461,166680,Spoofed
-99077,-169239,-156559,-281039,-57460,166681,Spoofed
-99076,-169238,-156558,-281038,-57459,166682,Spoofed
-99075,-169237,-156557,-281037,-57458,166683,Spoofed
-99074,-169236,-156556,-281036,-57457,166684,Spoofed
-99073,-169235,-156555,-281035,-57456,166685,Spoofed
-99072,-169234,-156554,-281034,-57455,166686,Spoofed
-99071,-169233,-156553,-281033,-57454,166687,Spoofed
-99070,-169232,-156552,-281032,-57453,166688,Spoofed
-99069,-169231,-156551,-281031,-57452,166689,Spoofed
-99068,-169230,-156550,-281030,-57451,166690,Spoofed
-99067,-169229,-156549,-281029,-57450,166691,Spoofed
-99066,-169228,-156548,-281028,-57449,166692,Spoofed
-99065,-169227,-156547,-281027,-57448,166693,Spoofed
-99064,-169226,-156546,-281026,-57447,166694,Spoofed
-99063,-169225,-156545,-281025,-57446,166695,Spoofed
-99062,-169224,-156544,-281024,-57445,166696,Spoofed
-99061,-169223,-156543,-281023,-57444,166697,Spoofed
-99060,-169222,-156542,-281022,-57443,166698,Spoofed
-99059,-169221,-156541,-281021,-57442,166699,Spoofed
-99058,-169220,-156540,-281020,-57441,166700,Spoofed
-99057,-169219,-156539,-281019,-57440,166701,Spoofed
-99056,-169218,-156538,-281018,-57439,166702,Spoofed
-99055,-169217,-156537,-281017,-57438,166703,Spoofed
-99054,-169216,-156536,-281016,-57437,166704,Spoofed
-99053,-169215,-156535,-281015,-57436,166705,Spoofed
-99052,-169214,-156534,-281014,-57435,166706,Spoofed
-99051,-169213,-156533,-281013,-57434,166707,Spoofed
-99050,-169212,-156532,-281012,-57433,166708,Spoofed
-99049,-169211,-156531,-281011,-57432,166709,Spoofed
-99048,-169210,-156530,-281010,-57431,166710,Spoofed
-99047,-169209,-156529,-281009,-57430,166711,Spoofed
-99046,-169208,-156528,-281008,-57429,166712,Spoofed
-99045,-169207,-156527,-281007,-57428,166713,Spoofed
-99044,-169206,-156526,-281006,-57427,166714,Spoofed
-99043,-169205,-156525,-281005,-57426,166715,Spoofed
-99042,-169204,-156524,-281004,-57425,166716,Spoofed
-99041,-169203,-156523,-281003,-57424,166717,Spoofed
-99040,-169202,-156522,-281002,-57423,166718,Spoofed
-99039,-169201,-156521,-281001,-57422,166719,Spoofed
-99038,-169200,-156520,-281000,-57421,166720,Spoofed
-99037,-169199,-156519,-280999,-57420,166721,Spoofed
-99036,-169198,-156518,-280998,-57419,166722,Spoofed
-99035,-169197,-156517,-280997,-57418,166723,Spoofed
-99034,-169196,-156516,-280996,-57417,166724,Spoofed
-99033,-169195,-156515,-280995,-57416,166725,Spoofed
-99032,-169194,-156514,-280994,-57415,166726,Spoofed
-99031,-169193,-156513,-280993,-57414,166727,Spoofed
-99030,-169192,-156512,-280992,-57413,166728,Spoofed
-99029,-169191,-156511,-280991,-57412,166729,Spoofed
-99028,-169190,-156510,-280990,-57411,166730,Spoofed
-99027,-169189,-156509,-280989,-57410,166731,Spoofed
-99026,-169188,-156508,-280988,-57409,166732,Spoofed
-99025,-169187,-156507,-280987,-57408,166733,Spoofed
-99024,-169186,-156506,-280986,-57407,166734,Spoofed
-99023,-169185,-156505,-280985,-57406,166735,Spoofed
-99022,-169184,-156504,-280984,-57405,166736,Spoofed
-99021,-169183,-156503,-280983,-57404,166737,Spoofed
-99020,-169182,-156502,-280982,-57403,166738,Spoofed
-99019,-169181,-156501,-280981,-57402,166739,Spoofed
-99018,-169180,-156500,-280980,-57401,166740,Spoofed
-99017,-169179,-156499,-280979,-57400,166741,Spoofed
-99016,-169178,-156498,-280978,-57399,166742,Spoofed
-99015,-169177,-156497,-280977,-57398,166743,Spoofed
-99014,-169176,-156496,-280976,-57397,166744,Spoofed
-99013,-169175,-156495,-280975,-57396,166745,Spoofed
-99012,-169174,-156494,-280974,-57395,166746,Spoofed
-99011,-169173,-156493,-280973,-57394,166747,Spoofed
-99010,-169172,-156492,-280972,-57393,166748,Spoofed
-99009,-169171,-156491,-280971,-57392,166749,Spoofed
-99008,-169170,-156490,-280970,-57391,166750,Spoofed
-99007,-169169,-156489,-280969,-57390,166751,Spoofed
-99006,-169168,-156488,-280968,-57389,166752,Spoofed
-99005,-169167,-156487,-280967,-57388,166753,Spoofed
-99004,-169166,-156486,-280966,-57387,166754,Spoofed
-99003,-169165,-156485,-280965,-57386,166755,Spoofed
-99002,-169164,-156484,-280964,-57385,166756,Spoofed
-99001,-169163,-156483,-280963,-57384,166757,Spoofed
-99000,-169162,-156482,-280962,-57383,166758,Spoofed
-98999,-169161,-156481,-280961,-57382,166759,Spoofed
-98998,-169160,-156480,-280960,-57381,166760,Spoofed
-98997,-169159,-156479,-280959,-57380,166761,Spoofed
-98996,-169158,-156478,-280958,-57379,166762,Spoofed
-98995,-169157,-156477,-280957,-57378,166763,Spoofed
-98994,-169156,-156476,-280956,-57377,166764,Spoofed
-98993,-169155,-156475,-280955,-57376,166765,Spoofed
-98992,-169154,-156474,-280954,-57375,166766,Spoofed
-98991,-169153,-156473,-280953,-57374,166767,Spoofed
-98990,-169152,-156472,-280952,-57373,166768,Spoofed
-98989,-169151,-156471,-280951,-57372,166769,Spoofed
-98988,-169150,-156470,-280950,-57371,166770,Spoofed
-98987,-169149,-156469,-280949,-57370,166771,Spoofed
-98986,-169148,-156468,-280948,-57369,166772,Spoofed
-98985,-169147,-156467,-280947,-57368,166773,Spoofed
-98984,-169146,-156466,-280946,-57367,166774,Spoofed
-98983,-169145,-156465,-280945,-57366,166775,Spoofed
-98982,-169144,-156464,-280944,-57365,166776,Spoofed
-98981,-169143,-156463,-280943,-57364,166777,Spoofed
-98980,-169142,-156462,-280942,-57363,166778,Spoofed
-98979,-169141,-156461,-280941,-57362,166779,Spoofed
-98978,-169140,-156460,-280940,-57361,166780,Spoofed
-98977,-169139,-156459,-280939,-57360,166781,Spoofed
-98976,-169138,-156458,-280938,-57359,166782,Spoofed
-98975,-169137,-156457,-280937,-57358,166783,Spoofed
-98974,-169136,-156456,-280936,-57357,166784,Spoofed
-98973,-169135,-156455,-280935,-57356,166785,Spoofed
-98972,-169134,-156454,-280934,-57355,166786,Spoofed
-98971,-169133,-156453,-280933,-57354,166787,Spoofed
-98970,-169132,-156452,-280932,-57353,166788,Spoofed
-98969,-169131,-156451,-280931,-57352,166789,Spoofed
-98968,-169130,-156450,-280930,-57351,166790,Spoofed
-98967,-169129,-156449,-280929,-57350,166791,Spoofed
-98966,-169128,-156448,-280928,-57349,166792,Spoofed
-98965,-169127,-156447,-280927,-57348,166793,Spoofed
-98964,-169126,-156446,-280926,-57347,166794,Spoofed
-98963,-169125,-156445,-280925,-57346,166795,Spoofed
-98962,-169124,-156444,-280924,-57345,166796,Spoofed
-98961,-169123,-156443,-280923,-57344,166797,Spoofed
-98960,-169122,-156442,-280922,-57343,166798,Spoofed
-98959,-169121,-156441,-280921,-57342,166799,Spoofed
-98958,-169120,-156440,-280920,-57341,166800,Spoofed
-98957,-169119,-156439,-280919,-57340,166801,Spoofed
-98956,-169118,-156438,-280918,-57339,166802,Spoofed
-98955,-169117,-156437,-280917,-57338,166803,Spoofed
-98954,-169116,-156436,-280916,-57337,166804,Spoofed
-98953,-169115,-156435,-280915,-57336,166805,Spoofed
-98952,-169114,-156434,-280914,-57335,166806,Spoofed
-98951,-169113,-156433,-280913,-57334,166807,Spoofed
-98950,-169112,-156432,-280912,-57333,166808,Spoofed
-98949,-169111,-156431,-280911,-57332,166809,Spoofed
-98948,-169110,-156430,-280910,-57331,166810,Spoofed
-98947,-169109,-156429,-280909,-57330,166811,Spoofed
-98946,-169108,-156428,-280908,-57329,166812,Spoofed
-98945,-169107,-156427,-280907,-57328,166813,Spoofed
-98944,-169106,-156426,-280906,-57327,166814,Spoofed
-98943,-169105,-156425,-280905,-57326,166815,Spoofed
-98942,-169104,-156424,-280904,-57325,166816,Spoofed
-98941,-169103,-156423,-280903,-57324,166817,Spoofed
-98940,-169102,-156422,-280902,-57323,166818,Spoofed
-98939,-169101,-156421,-280901,-57322,166819,Spoofed
-98938,-169100,-156420,-280900,-57321,166820,Spoofed
-98937,-169099,-156419,-280899,-57320,166821,Spoofed
-98936,-169098,-156418,-280898,-57319,166822,Spoofed
-98935,-169097,-156417,-280897,-57318,166823,Spoofed
-98934,-169096,-156416,-280896,-57317,166824,Spoofed
-98933,-169095,-156415,-280895,-57316,166825,Spoofed
-98932,-169094,-156414,-280894,-57315,166826,Spoofed
-98931,-169093,-156413,-280893,-57314,166827,Spoofed
-98930,-169092,-156412,-280892,-57313,166828,Spoofed
-98929,-169091,-156411,-280891,-57312,166829,Spoofed
-98928,-169090,-156410,-280890,-57311,166830,Spoofed
-98927,-169089,-156409,-280889,-57310,166831,Spoofed
-98926,-169088,-156408,-280888,-57309,166832,Spoofed
-98925,-169087,-156407,-280887,-57308,166833,Spoofed
-98924,-169086,-156406,-280886,-57307,166834,Spoofed
-98923,-169085,-156405,-280885,-57306,166835,Spoofed
-98922,-169084,-156404,-280884,-57305,166836,Spoofed
-98921,-169083,-156403,-280883,-57304,166837,Spoofed
-98920,-169082,-156402,-280882,-57303,166838,Spoofed
-98919,-169081,-156401,-280881,-57302,166839,Spoofed
-98918,-169080,-156400,-280880,-57301,166840,Spoofed
-98917,-169079,-156399,-280879,-57300,166841,Spoofed
-98916,-169078,-156398,-280878,-57299,166842,Spoofed
-98915,-169077,-156397,-280877,-57298,166843,Spoofed
-98914,-169076,-156396,-280876,-57297,166844,Spoofed
-98913,-169075,-156395,-280875,-57296,166845,Spoofed
-98912,-169074,-156394,-280874,-57295,166846,Spoofed
-98911,-169073,-156393,-280873,-57294,166847,Spoofed
-98910,-169072,-156392,-280872,-57293,166848,Spoofed
-98909,-169071,-156391,-280871,-57292,166849,Spoofed
-98908,-169070,-156390,-280870,-57291,166850,Spoofed
-98907,-169069,-156389,-280869,-57290,166851,Spoofed
-98906,-169068,-156388,-280868,-57289,166852,Spoofed
-98905,-169067,-156387,-280867,-57288,166853,Spoofed
-98904,-169066,-156386,-280866,-57287,166854,Spoofed
-98903,-169065,-156385,-280865,-57286,166855,Spoofed
-98902,-169064,-156384,-280864,-57285,166856,Spoofed
-98901,-169063,-156383,-280863,-57284,166857,Spoofed
-98900,-169062,-156382,-280862,-57283,166858,Spoofed
-98899,-169061,-156381,-280861,-57282,166859,Spoofed
-98898,-169060,-156380,-280860,-57281,166860,Spoofed
-98897,-169059,-156379,-280859,-57280,166861,Spoofed
-98896,-169058,-156378,-280858,-57279,166862,Spoofed
-98895,-169057,-156377,-280857,-57278,166863,Spoofed
-98894,-169056,-156376,-280856,-57277,166864,Spoofed
-98893,-169055,-156375,-280855,-57276,166865,Spoofed
-98892,-169054,-156374,-280854,-57275,166866,Spoofed
-98891,-169053,-156373,-280853,-57274,166867,Spoofed
-98890,-169052,-156372,-280852,-57273,166868,Spoofed
-98889,-169051,-156371,-280851,-57272,166869,Spoofed
-98888,-169050,-156370,-280850,-57271,166870,Spoofed
-98887,-169049,-156369,-280849,-57270,166871,Spoofed
-98886,-169048,-156368,-280848,-57269,166872,Spoofed
-98885,-169047,-156367,-280847,-57268,166873,Spoofed
-98884,-169046,-156366,-280846,-57267,166874,Spoofed
-98883,-169045,-156365,-280845,-57266,166875,Spoofed
-98882,-169044,-156364,-280844,-57265,166876,Spoofed
-98881,-169043,-156363,-280843,-57264,166877,Spoofed
-98880,-169042,-156362,-280842,-57263,166878,Spoofed
-98879,-169041,-156361,-280841,-57262,166879,Spoofed
-98878,-169040,-156360,-280840,-57261,166880,Spoofed
-98877,-169039,-156359,-280839,-57260,166881,Spoofed
-98876,-169038,-156358,-280838,-57259,166882,Spoofed
-98875,-169037,-156357,-280837,-57258,166883,Spoofed
-98874,-169036,-156356,-280836,-57257,166884,Spoofed
-98873,-169035,-156355,-280835,-57256,166885,Spoofed
-98872,-169034,-156354,-280834,-57255,166886,Spoofed
-98871,-169033,-156353,-280833,-57254,166887,Spoofed
-98870,-169032,-156352,-280832,-57253,166888,Spoofed
-98869,-169031,-156351,-280831,-57252,166889,Spoofed
-98868,-169030,-156350,-280830,-57251,166890,Spoofed
-98867,-169029,-156349,-280829,-57250,166891,Spoofed
-98866,-169028,-156348,-280828,-57249,166892,Spoofed
-98865,-169027,-156347,-280827,-57248,166893,Spoofed
-98864,-169026,-156346,-280826,-57247,166894,Spoofed
-98863,-169025,-156345,-280825,-57246,166895,Spoofed
-98862,-169024,-156344,-280824,-57245,166896,Spoofed
-98861,-169023,-156343,-280823,-57244,166897,Spoofed
-98860,-169022,-156342,-280822,-57243,166898,Spoofed
-98859,-169021,-156341,-280821,-57242,166899,Spoofed
-98858,-169020,-156340,-280820,-57241,166900,Spoofed
-98857,-169019,-156339,-280819,-57240,166901,Spoofed
-98856,-169018,-156338,-280818,-57239,166902,Spoofed
-98855,-169017,-156337,-280817,-57238,166903,Spoofed
-98854,-169016,-156336,-280816,-57237,166904,Spoofed
-98853,-169015,-156335,-280815,-57236,166905,Spoofed
-98852,-169014,-156334,-280814,-57235,166906,Spoofed
-98851,-169013,-156333,-280813,-57234,166907,Spoofed
-98850,-169012,-156332,-280812,-57233,166908,Spoofed
-98849,-169011,-156331,-280811,-57232,166909,Spoofed
-98848,-169010,-156330,-280810,-57231,166910,Spoofed
-98847,-169009,-156329,-280809,-57230,166911,Spoofed
-98846,-169008,-156328,-280808,-57229,166912,Spoofed
-98845,-169007,-156327,-280807,-57228,166913,Spoofed
-98844,-169006,-156326,-280806,-57227,166914,Spoofed
-98843,-169005,-156325,-280805,-57226,166915,Spoofed
-98842,-169004,-156324,-280804,-57225,166916,Spoofed
-98841,-169003,-156323,-280803,-57224,166917,Spoofed
-98840,-169002,-156322,-280802,-57223,166918,Spoofed
-98839,-169001,-156321,-280801,-57222,166919,Spoofed
-98838,-169000,-156320,-280800,-57221,166920,Spoofed
-98837,-168999,-156319,-280799,-57220,166921,Spoofed
-98836,-168998,-156318,-280798,-57219,166922,Spoofed
-98835,-168997,-156317,-280797,-57218,166923,Spoofed
-98834,-168996,-156316,-280796,-57217,166924,Spoofed
-98833,-168995,-156315,-280795,-57216,166925,Spoofed
-98832,-168994,-156314,-280794,-57215,166926,Spoofed
-98831,-168993,-156313,-280793,-57214,166927,Spoofed
-98830,-168992,-156312,-280792,-57213,166928,Spoofed
-98829,-168991,-156311,-280791,-57212,166929,Spoofed
-98828,-168990,-156310,-280790,-57211,166930,Spoofed
-98827,-168989,-156309,-280789,-57210,166931,Spoofed
-98826,-168988,-156308,-280788,-57209,166932,Spoofed
-98825,-168987,-156307,-280787,-57208,166933,Spoofed
-98824,-168986,-156306,-280786,-57207,166934,Spoofed
-98823,-168985,-156305,-280785,-57206,166935,Spoofed
-98822,-168984,-156304,-280784,-57205,166936,Spoofed
-98821,-168983,-156303,-280783,-57204,166937,Spoofed
-98820,-168982,-156302,-280782,-57203,166938,Spoofed
-98819,-168981,-156301,-280781,-57202,166939,Spoofed
-98818,-168980,-156300,-280780,-57201,166940,Spoofed
-98817,-168979,-156299,-280779,-57200,166941,Spoofed
-98816,-168978,-156298,-280778,-57199,166942,Spoofed
-98815,-168977,-156297,-280777,-57198,166943,Spoofed
-98814,-168976,-156296,-280776,-57197,166944,Spoofed
-98813,-168975,-156295,-280775,-57196,166945,Spoofed
-98812,-168974,-156294,-280774,-57195,166946,Spoofed
-98811,-168973,-156293,-280773,-57194,166947,Spoofed
-98810,-168972,-156292,-280772,-57193,166948,Spoofed
-98809,-168971,-156291,-280771,-57192,166949,Spoofed
-98808,-168970,-156290,-280770,-57191,166950,Spoofed
-98807,-168969,-156289,-280769,-57190,166951,Spoofed
-98806,-168968,-156288,-280768,-57189,166952,Spoofed
-98805,-168967,-156287,-280767,-57188,166953,Spoofed
-98804,-168966,-156286,-280766,-57187,166954,Spoofed
-98803,-168965,-156285,-280765,-57186,166955,Spoofed
-98802,-168964,-156284,-280764,-57185,166956,Spoofed
-98801,-168963,-156283,-280763,-57184,166957,Spoofed
-98800,-168962,-156282,-280762,-57183,166958,Spoofed
-98799,-168961,-156281,-280761,-57182,166959,Spoofed
-98798,-168960,-156280,-280760,-57181,166960,Spoofed
-98797,-168959,-156279,-280759,-57180,166961,Spoofed
-98796,-168958,-156278,-280758,-57179,166962,Spoofed
-98795,-168957,-156277,-280757,-57178,166963,Spoofed
-98794,-168956,-156276,-280756,-57177,166964,Spoofed
-98793,-168955,-156275,-280755,-57176,166965,Spoofed
-98792,-168954,-156274,-280754,-57175,166966,Spoofed
-98791,-168953,-156273,-280753,-57174,166967,Spoofed
-98790,-168952,-156272,-280752,-57173,166968,Spoofed
-98789,-168951,-156271,-280751,-57172,166969,Spoofed
-98788,-168950,-156270,-280750,-57171,166970,Spoofed
-98787,-168949,-156269,-280749,-57170,166971,Spoofed
-98786,-168948,-156268,-280748,-57169,166972,Spoofed
-98785,-168947,-156267,-280747,-57168,166973,Spoofed
-98784,-168946,-156266,-280746,-57167,166974,Spoofed
-98783,-168945,-156265,-280745,-57166,166975,Spoofed
-98782,-168944,-156264,-280744,-57165,166976,Spoofed
-98781,-168943,-156263,-280743,-57164,166977,Spoofed
-98780,-168942,-156262,-280742,-57163,166978,Spoofed
-98779,-168941,-156261,-280741,-57162,166979,Spoofed
-98778,-168940,-156260,-280740,-57161,166980,Spoofed
-98777,-168939,-156259,-280739,-57160,166981,Spoofed
-98776,-168938,-156258,-280738,-57159,166982,Spoofed
-98775,-168937,-156257,-280737,-57158,166983,Spoofed
-98774,-168936,-156256,-280736,-57157,166984,Spoofed
-98773,-168935,-156255,-280735,-57156,166985,Spoofed
-98772,-168934,-156254,-280734,-57155,166986,Spoofed
-98771,-168933,-156253,-280733,-57154,166987,Spoofed
-98770,-168932,-156252,-280732,-57153,166988,Spoofed
-98769,-168931,-156251,-280731,-57152,166989,Spoofed
-98768,-168930,-156250,-280730,-57151,166990,Spoofed
-98767,-168929,-156249,-280729,-57150,166991,Spoofed
-98766,-168928,-156248,-280728,-57149,166992,Spoofed
-98765,-168927,-156247,-280727,-57148,166993,Spoofed
-98764,-168926,-156246,-280726,-57147,166994,Spoofed
-98763,-168925,-156245,-280725,-57146,166995,Spoofed
-98762,-168924,-156244,-280724,-57145,166996,Spoofed
-98761,-168923,-156243,-280723,-57144,166997,Spoofed
-98760,-168922,-156242,-280722,-57143,166998,Spoofed
-98759,-168921,-156241,-280721,-57142,166999,Spoofed
-98758,-168920,-156240,-280720,-57141,167000,Spoofed
-98757,-168919,-156239,-280719,-57140,167001,Spoofed
-98756,-168918,-156238,-280718,-57139,167002,Spoofed
-98755,-168917,-156237,-280717,-57138,167003,Spoofed
-98754,-168916,-156236,-280716,-57137,167004,Spoofed
-98753,-168915,-156235,-280715,-57136,167005,Spoofed
-98752,-168914,-156234,-280714,-57135,167006,Spoofed
-98751,-168913,-156233,-280713,-57134,167007,Spoofed
-98750,-168912,-156232,-280712,-57133,167008,Spoofed
-98749,-168911,-156231,-280711,-57132,167009,Spoofed
-98748,-168910,-156230,-280710,-57131,167010,Spoofed
-98747,-168909,-156229,-280709,-57130,167011,Spoofed
-98746,-168908,-156228,-280708,-57129,167012,Spoofed
-98745,-168907,-156227,-280707,-57128,167013,Spoofed
-98744,-168906,-156226,-280706,-57127,167014,Spoofed
-98743,-168905,-156225,-280705,-57126,167015,Spoofed
-98742,-168904,-156224,-280704,-57125,167016,Spoofed
-98741,-168903,-156223,-280703,-57124,167017,Spoofed
-98740,-168902,-156222,-280702,-57123,167018,Spoofed
-98739,-168901,-156221,-280701,-57122,167019,Spoofed
