I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
46730,7057,108120,49995,-101230,-115480,Spoofed
46731,7058,108121,49996,-101229,-115479,Spoofed
46732,7059,108122,49997,-101228,-115478,Spoofed
46733,7060,108123,49998,-101227,-115477,Spoofed
46734,7061,108124,49999,-101226,-115476,Spoofed
46735,7062,108125,50000,-101225,-115475,Spoofed
46736,7063,108126,50001,-101224,-115474,Spoofed
46737,7064,108127,50002,-101223,-115473,Spoofed
46738,7065,108128,50003,-101222,-115472,Spoofed
46739,7066,108129,50004,-101221,-115471,Spoofed
46740,7067,108130,50005,-101220,-115470,Spoofed
46741,7068,108131,50006,-101219,-115469,Spoofed
46742,7069,108132,50007,-101218,-115468,Spoofed
46743,7070,108133,50008,-101217,-115467,Spoofed
46744,7071,108134,50009,-101216,-115466,Spoofed
46745,7072,108135,50010,-101215,-115465,Spoofed
46746,7073,108136,50011,-101214,-115464,Spoofed
46747,7074,108137,50012,-101213,-115463,Spoofed
46748,7075,108138,50013,-101212,-115462,Spoofed
46749,7076,108139,50014,-101211,-115461,Spoofed
46750,7077,108140,50015,-101210,-115460,Spoofed
46751,7078,108141,50016,-101209,-115459,Spoofed
46752,7079,108142,50017,-101208,-115458,Spoofed
46753,7080,108143,50018,-101207,-115457,Spoofed
46754,7081,108144,50019,-101206,-115456,Spoofed
46755,7082,108145,50020,-101205,-115455,Spoofed
46756,7083,108146,50021,-101204,-115454,Spoofed
46757,7084,108147,50022,-101203,-115453,Spoofed
46758,7085,108148,50023,-101202,-115452,Spoofed
46759,7086,108149,50024,-101201,-115451,Spoofed
46760,7087,108150,50025,-101200,-115450,Spoofed
46761,7088,108151,50026,-101199,-115449,Spoofed
46762,7089,108152,50027,-101198,-115448,Spoofed
46763,7090,108153,50028,-101197,-115447,Spoofed
46764,7091,108154,50029,-101196,-115446,Spoofed
46765,7092,108155,50030,-101195,-115445,Spoofed
46766,7093,108156,50031,-101194,-115444,Spoofed
46767,7094,108157,50032,-101193,-115443,Spoofed
46768,7095,108158,50033,-101192,-115442,Spoofed
46769,7096,108159,50034,-101191,-115441,Spoofed
46770,7097,108160,50035,-101190,-115440,Spoofed
46771,7098,108161,50036,-101189,-115439,Spoofed
46772,7099,108162,50037,-101188,-115438,Spoofed
46773,7100,108163,50038,-101187,-115437,Spoofed
46774,7101,108164,50039,-101186,-115436,Spoofed
46775,7102,108165,50040,-101185,-115435,Spoofed
46776,7103,108166,50041,-101184,-115434,Spoofed
46777,7104,108167,50042,-101183,-115433,Spoofed
46778,7105,108168,50043,-101182,-115432,Spoofed
46779,7106,108169,50044,-101181,-115431,Spoofed
46780,7107,108170,50045,-101180,-115430,Spoofed
46781,7108,108171,50046,-101179,-115429,Spoofed
46782,7109,108172,50047,-101178,-115428,Spoofed
46783,7110,108173,50048,-101177,-115427,Spoofed
46784,7111,108174,50049,-101176,-115426,Spoofed
46785,7112,108175,50050,-101175,-115425,Spoofed
46786,7113,108176,50051,-101174,-115424,Spoofed
46787,7114,108177,50052,-101173,-115423,Spoofed
46788,7115,108178,50053,-101172,-115422,Spoofed
46789,7116,108179,50054,-101171,-115421,Spoofed
46790,7117,108180,50055,-101170,-115420,Spoofed
46791,7118,108181,50056,-101169,-115419,Spoofed
46792,7119,108182,50057,-101168,-115418,Spoofed
46793,7120,108183,50058,-101167,-115417,Spoofed
46794,7121,108184,50059,-101166,-115416,Spoofed
46795,7122,108185,50060,-101165,-115415,Spoofed
46796,7123,108186,50061,-101164,-115414,Spoofed
46797,7124,108187,50062,-101163,-115413,Spoofed
46798,7125,108188,50063,-101162,-115412,Spoofed
46799,7126,108189,50064,-101161,-115411,Spoofed
46800,7127,108190,50065,-101160,-115410,Spoofed
46801,7128,108191,50066,-101159,-115409,Spoofed
46802,7129,108192,50067,-101158,-115408,Spoofed
46803,7130,108193,50068,-101157,-115407,Spoofed
46804,7131,108194,50069,-101156,-115406,Spoofed
46805,7132,108195,50070,-101155,-115405,Spoofed
46806,7133,108196,50071,-101154,-115404,Spoofed
46807,7134,108197,50072,-101153,-115403,Spoofed
46808,7135,108198,50073,-101152,-115402,Spoofed
46809,7136,108199,50074,-101151,-115401,Spoofed
46810,7137,108200,50075,-101150,-115400,Spoofed
46811,7138,108201,50076,-101149,-115399,Spoofed
46812,7139,108202,50077,-101148,-115398,Spoofed
46813,7140,108203,50078,-101147,-115397,Spoofed
46814,7141,108204,50079,-101146,-115396,Spoofed
46815,7142,108205,50080,-101145,-115395,Spoofed
46816,7143,108206,50081,-101144,-115394,Spoofed
46817,7144,108207,50082,-101143,-115393,Spoofed
46818,7145,108208,50083,-101142,-115392,Spoofed
46819,7146,108209,50084,-101141,-115391,Spoofed
46820,7147,108210,50085,-101140,-115390,Spoofed
46821,7148,108211,50086,-101139,-115389,Spoofed
46822,7149,108212,50087,-101138,-115388,Spoofed
46823,7150,108213,50088,-101137,-115387,Spoofed
46824,7151,108214,50089,-101136,-115386,Spoofed
46825,7152,108215,50090,-101135,-115385,Spoofed
46826,7153,108216,50091,-101134,-115384,Spoofed
46827,7154,108217,50092,-101133,-115383,Spoofed
46828,7155,108218,50093,-101132,-115382,Spoofed
46829,7156,108219,50094,-101131,-115381,Spoofed
46830,7157,108220,50095,-101130,-115380,Spoofed
46831,7158,108221,50096,-101129,-115379,Spoofed
46832,7159,108222,50097,-101128,-115378,Spoofed
46833,7160,108223,50098,-101127,-115377,Spoofed
46834,7161,108224,50099,-101126,-115376,Spoofed
46835,7162,108225,50100,-101125,-115375,Spoofed
46836,7163,108226,50101,-101124,-115374,Spoofed
46837,7164,108227,50102,-101123,-115373,Spoofed
46838,7165,108228,50103,-101122,-115372,Spoofed
46839,7166,108229,50104,-101121,-115371,Spoofed
46840,7167,108230,50105,-101120,-115370,Spoofed
46841,7168,108231,50106,-101119,-115369,Spoofed
46842,7169,108232,50107,-101118,-115368,Spoofed
46843,7170,108233,50108,-101117,-115367,Spoofed
46844,7171,108234,50109,-101116,-115366,Spoofed
46845,7172,108235,50110,-101115,-115365,Spoofed
46846,7173,108236,50111,-101114,-115364,Spoofed
46847,7174,108237,50112,-101113,-115363,Spoofed
46848,7175,108238,50113,-101112,-115362,Spoofed
46849,7176,108239,50114,-101111,-115361,Spoofed
46850,7177,108240,50115,-101110,-115360,Spoofed
46851,7178,108241,50116,-101109,-115359,Spoofed
46852,7179,108242,50117,-101108,-115358,Spoofed
46853,7180,108243,50118,-101107,-115357,Spoofed
46854,7181,108244,50119,-101106,-115356,Spoofed
46855,7182,108245,50120,-101105,-115355,Spoofed
46856,7183,108246,50121,-101104,-115354,Spoofed
46857,7184,108247,50122,-101103,-115353,Spoofed
46858,7185,108248,50123,-101102,-115352,Spoofed
46859,7186,108249,50124,-101101,-115351,Spoofed
46860,7187,108250,50125,-101100,-115350,Spoofed
46861,7188,108251,50126,-101099,-115349,Spoofed
46862,7189,108252,50127,-101098,-115348,Spoofed
46863,7190,108253,50128,-101097,-115347,Spoofed
46864,7191,108254,50129,-101096,-115346,Spoofed
46865,7192,108255,50130,-101095,-115345,Spoofed
46866,7193,108256,50131,-101094,-115344,Spoofed
46867,7194,108257,50132,-101093,-115343,Spoofed
46868,7195,108258,50133,-101092,-115342,Spoofed
46869,7196,108259,50134,-101091,-115341,Spoofed
46870,7197,108260,50135,-101090,-115340,Spoofed
46871,7198,108261,50136,-101089,-115339,Spoofed
46872,7199,108262,50137,-101088,-115338,Spoofed
46873,7200,108263,50138,-101087,-115337,Spoofed
46874,7201,108264,50139,-101086,-115336,Spoofed
46875,7202,108265,50140,-101085,-115335,Spoofed
46876,7203,108266,50141,-101084,-115334,Spoofed
46877,7204,108267,50142,-101083,-115333,Spoofed
46878,7205,108268,50143,-101082,-115332,Spoofed
46879,7206,108269,50144,-101081,-115331,Spoofed
46880,7207,108270,50145,-101080,-115330,Spoofed
46881,7208,108271,50146,-101079,-115329,Spoofed
46882,7209,108272,50147,-101078,-115328,Spoofed
46883,7210,108273,50148,-101077,-115327,Spoofed
46884,7211,108274,50149,-101076,-115326,Spoofed
46885,7212,108275,50150,-101075,-115325,Spoofed
46886,7213,108276,50151,-101074,-115324,Spoofed
46887,7214,108277,50152,-101073,-115323,Spoofed
46888,7215,108278,50153,-101072,-115322,Spoofed
46889,7216,108279,50154,-101071,-115321,Spoofed
46890,7217,108280,50155,-101070,-115320,Spoofed
46891,7218,108281,50156,-101069,-115319,Spoofed
46892,7219,108282,50157,-101068,-115318,Spoofed
46893,7220,108283,50158,-101067,-115317,Spoofed
46894,7221,108284,50159,-101066,-115316,Spoofed
46895,7222,108285,50160,-101065,-115315,Spoofed
46896,7223,108286,50161,-101064,-115314,Spoofed
46897,7224,108287,50162,-101063,-115313,Spoofed
46898,7225,108288,50163,-101062,-115312,Spoofed
46899,7226,108289,50164,-101061,-115311,Spoofed
46900,7227,108290,50165,-101060,-115310,Spoofed
46901,7228,108291,50166,-101059,-115309,Spoofed
46902,7229,108292,50167,-101058,-115308,Spoofed
46903,7230,108293,50168,-101057,-115307,Spoofed
46904,7231,108294,50169,-101056,-115306,Spoofed
46905,7232,108295,50170,-101055,-115305,Spoofed
46906,7233,108296,50171,-101054,-115304,Spoofed
46907,7234,108297,50172,-101053,-115303,Spoofed
46908,7235,108298,50173,-101052,-115302,Spoofed
46909,7236,108299,50174,-101051,-115301,Spoofed
46910,7237,108300,50175,-101050,-115300,Spoofed
46911,7238,108301,50176,-101049,-115299,Spoofed
46912,7239,108302,50177,-101048,-115298,Spoofed
46913,7240,108303,50178,-101047,-115297,Spoofed
46914,7241,108304,50179,-101046,-115296,Spoofed
46915,7242,108305,50180,-101045,-115295,Spoofed
46916,7243,108306,50181,-101044,-115294,Spoofed
46917,7244,108307,50182,-101043,-115293,Spoofed
46918,7245,108308,50183,-101042,-115292,Spoofed
46919,7246,108309,50184,-101041,-115291,Spoofed
46920,7247,108310,50185,-101040,-115290,Spoofed
46921,7248,108311,50186,-101039,-115289,Spoofed
46922,7249,108312,50187,-101038,-115288,Spoofed
46923,7250,108313,50188,-101037,-115287,Spoofed
46924,7251,108314,50189,-101036,-115286,Spoofed
46925,7252,108315,50190,-101035,-115285,Spoofed
46926,7253,108316,50191,-101034,-115284,Spoofed
46927,7254,108317,50192,-101033,-115283,Spoofed
46928,7255,108318,50193,-101032,-115282,Spoofed
46929,7256,108319,50194,-101031,-115281,Spoofed
46930,7257,108320,50195,-101030,-115280,Spoofed
46931,7258,108321,50196,-101029,-115279,Spoofed
46932,7259,108322,50197,-101028,-115278,Spoofed
46933,7260,108323,50198,-101027,-115277,Spoofed
46934,7261,108324,50199,-101026,-115276,Spoofed
46935,7262,108325,50200,-101025,-115275,Spoofed
46936,7263,108326,50201,-101024,-115274,Spoofed
46937,7264,108327,50202,-101023,-115273,Spoofed
46938,7265,108328,50203,-101022,-115272,Spoofed
46939,7266,108329,50204,-101021,-115271,Spoofed
46940,7267,108330,50205,-101020,-115270,Spoofed
46941,7268,108331,50206,-101019,-115269,Spoofed
46942,7269,108332,50207,-101018,-115268,Spoofed
46943,7270,108333,50208,-101017,-115267,Spoofed
46944,7271,108334,50209,-101016,-115266,Spoofed
46945,7272,108335,50210,-101015,-115265,Spoofed
46946,7273,108336,50211,-101014,-115264,Spoofed
46947,7274,108337,50212,-101013,-115263,Spoofed
46948,7275,108338,50213,-101012,-115262,Spoofed
46949,7276,108339,50214,-101011,-115261,Spoofed
46950,7277,108340,50215,-101010,-115260,Spoofed
46951,7278,108341,50216,-101009,-115259,Spoofed
46952,7279,108342,50217,-101008,-115258,Spoofed
46953,7280,108343,50218,-101007,-115257,Spoofed
46954,7281,108344,50219,-101006,-115256,Spoofed
46955,7282,108345,50220,-101005,-115255,Spoofed
46956,7283,108346,50221,-101004,-115254,Spoofed
46957,7284,108347,50222,-101003,-115253,Spoofed
46958,7285,108348,50223,-101002,-115252,Spoofed
46959,7286,108349,50224,-101001,-115251,Spoofed
46960,7287,108350,50225,-101000,-115250,Spoofed
46961,7288,108351,50226,-100999,-115249,Spoofed
46962,7289,108352,50227,-100998,-115248,Spoofed
46963,7290,108353,50228,-100997,-115247,Spoofed
46964,7291,108354,50229,-100996,-115246,Spoofed
46965,7292,108355,50230,-100995,-115245,Spoofed
46966,7293,108356,50231,-100994,-115244,Spoofed
46967,7294,108357,50232,-100993,-115243,Spoofed
46968,7295,108358,50233,-100992,-115242,Spoofed
46969,7296,108359,50234,-100991,-115241,Spoofed
46970,7297,108360,50235,-100990,-115240,Spoofed
46971,7298,108361,50236,-100989,-115239,Spoofed
46972,7299,108362,50237,-100988,-115238,Spoofed
46973,7300,108363,50238,-100987,-115237,Spoofed
46974,7301,108364,50239,-100986,-115236,Spoofed
46975,7302,108365,50240,-100985,-115235,Spoofed
46976,7303,108366,50241,-100984,-115234,Spoofed
46977,7304,108367,50242,-100983,-115233,Spoofed
46978,7305,108368,50243,-100982,-115232,Spoofed
46979,7306,108369,50244,-100981,-115231,Spoofed
46980,7307,108370,50245,-100980,-115230,Spoofed
46981,7308,108371,50246,-100979,-115229,Spoofed
46982,7309,108372,50247,-100978,-115228,Spoofed
46983,7310,108373,50248,-100977,-115227,Spoofed
46984,7311,108374,50249,-100976,-115226,Spoofed
46985,7312,108375,50250,-100975,-115225,Spoofed
46986,7313,108376,50251,-100974,-115224,Spoofed
46987,7314,108377,50252,-100973,-115223,Spoofed
46988,7315,108378,50253,-100972,-115222,Spoofed
46989,7316,108379,50254,-100971,-115221,Spoofed
46990,7317,108380,50255,-100970,-115220,Spoofed
46991,7318,108381,50256,-100969,-115219,Spoofed
46992,7319,108382,50257,-100968,-115218,Spoofed
46993,7320,108383,50258,-100967,-115217,Spoofed
46994,7321,108384,50259,-100966,-115216,Spoofed
46995,7322,108385,50260,-100965,-115215,Spoofed
46996,7323,108386,50261,-100964,-115214,Spoofed
46997,7324,108387,50262,-100963,-115213,Spoofed
46998,7325,108388,50263,-100962,-115212,Spoofed
46999,7326,108389,50264,-100961,-115211,Spoofed
47000,7327,108390,50265,-100960,-115210,Spoofed
47001,7328,108391,50266,-100959,-115209,Spoofed
47002,7329,108392,50267,-100958,-115208,Spoofed
47003,7330,108393,50268,-100957,-115207,Spoofed
47004,7331,108394,50269,-100956,-115206,Spoofed
47005,7332,108395,50270,-100955,-115205,Spoofed
47006,7333,108396,50271,-100954,-115204,Spoofed
47007,7334,108397,50272,-100953,-115203,Spoofed
47008,7335,108398,50273,-100952,-115202,Spoofed
47009,7336,108399,50274,-100951,-115201,Spoofed
47010,7337,108400,50275,-100950,-115200,Spoofed
47011,7338,108401,50276,-100949,-115199,Spoofed
47012,7339,108402,50277,-100948,-115198,Spoofed
47013,7340,108403,50278,-100947,-115197,Spoofed
47014,7341,108404,50279,-100946,-115196,Spoofed
47015,7342,108405,50280,-100945,-115195,Spoofed
47016,7343,108406,50281,-100944,-115194,Spoofed
47017,7344,108407,50282,-100943,-115193,Spoofed
47018,7345,108408,50283,-100942,-115192,Spoofed
47019,7346,108409,50284,-100941,-115191,Spoofed
47020,7347,108410,50285,-100940,-115190,Spoofed
47021,7348,108411,50286,-100939,-115189,Spoofed
47022,7349,108412,50287,-100938,-115188,Spoofed
47023,7350,108413,50288,-100937,-115187,Spoofed
47024,7351,108414,50289,-100936,-115186,Spoofed
47025,7352,108415,50290,-100935,-115185,Spoofed
47026,7353,108416,50291,-100934,-115184,Spoofed
47027,7354,108417,50292,-100933,-115183,Spoofed
47028,7355,108418,50293,-100932,-115182,Spoofed
47029,7356,108419,50294,-100931,-115181,Spoofed
47030,7357,108420,50295,-100930,-115180,Spoofed
47031,7358,108421,50296,-100929,-115179,Spoofed
47032,7359,108422,50297,-100928,-115178,Spoofed
47033,7360,108423,50298,-100927,-115177,Spoofed
47034,7361,108424,50299,-100926,-115176,Spoofed
47035,7362,108425,50300,-100925,-115175,Spoofed
47036,7363,108426,50301,-100924,-115174,Spoofed
47037,7364,108427,50302,-100923,-115173,Spoofed
47038,7365,108428,50303,-100922,-115172,Spoofed
47039,7366,108429,50304,-100921,-115171,Spoofed
47040,7367,108430,50305,-100920,-115170,Spoofed
47041,7368,108431,50306,-100919,-115169,Spoofed
47042,7369,108432,50307,-100918,-115168,Spoofed
47043,7370,108433,50308,-100917,-115167,Spoofed
47044,7371,108434,50309,-100916,-115166,Spoofed
47045,7372,108435,50310,-100915,-115165,Spoofed
47046,7373,108436,50311,-100914,-115164,Spoofed
47047,7374,108437,50312,-100913,-115163,Spoofed
47048,7375,108438,50313,-100912,-115162,Spoofed
47049,7376,108439,50314,-100911,-115161,Spoofed
47050,7377,108440,50315,-100910,-115160,Spoofed
47051,7378,108441,50316,-100909,-115159,Spoofed
47052,7379,108442,50317,-100908,-115158,Spoofed
47053,7380,108443,50318,-100907,-115157,Spoofed
47054,7381,108444,50319,-100906,-115156,Spoofed
47055,7382,108445,50320,-100905,-115155,Spoofed
47056,7383,108446,50321,-100904,-115154,Spoofed
47057,7384,108447,50322,-100903,-115153,Spoofed
47058,7385,108448,50323,-100902,-115152,Spoofed
47059,7386,108449,50324,-100901,-115151,Spoofed
47060,7387,108450,50325,-100900,-115150,Spoofed
47061,7388,108451,50326,-100899,-115149,Spoofed
47062,7389,108452,50327,-100898,-115148,Spoofed
47063,7390,108453,50328,-100897,-115147,Spoofed
47064,7391,108454,50329,-100896,-115146,Spoofed
47065,7392,108455,50330,-100895,-115145,Spoofed
47066,7393,108456,50331,-100894,-115144,Spoofed
47067,7394,108457,50332,-100893,-115143,Spoofed
47068,7395,108458,50333,-100892,-115142,Spoofed
47069,7396,108459,50334,-100891,-115141,Spoofed
47070,7397,108460,50335,-100890,-115140,Spoofed
47071,7398,108461,50336,-100889,-115139,Spoofed
47072,7399,108462,50337,-100888,-115138,Spoofed
47073,7400,108463,50338,-100887,-115137,Spoofed
47074,7401,108464,50339,-100886,-115136,Spoofed
47075,7402,108465,50340,-100885,-115135,Spoofed
47076,7403,108466,50341,-100884,-115134,Spoofed
47077,7404,108467,50342,-100883,-115133,Spoofed
47078,7405,108468,50343,-100882,-115132,Spoofed
47079,7406,108469,50344,-100881,-115131,Spoofed
47080,7407,108470,50345,-100880,-115130,Spoofed
47081,7408,108471,50346,-100879,-115129,Spoofed
47082,7409,108472,50347,-100878,-115128,Spoofed
47083,7410,108473,50348,-100877,-115127,Spoofed
47084,7411,108474,50349,-100876,-115126,Spoofed
47085,7412,108475,50350,-100875,-115125,Spoofed
47086,7413,108476,50351,-100874,-115124,Spoofed
47087,7414,108477,50352,-100873,-115123,Spoofed
47088,7415,108478,50353,-100872,-115122,Spoofed
47089,7416,108479,50354,-100871,-115121,Spoofed
47090,7417,108480,50355,-100870,-115120,Spoofed
47091,7418,108481,50356,-100869,-115119,Spoofed
47092,7419,108482,50357,-100868,-115118,Spoofed
47093,7420,108483,50358,-100867,-115117,Spoofed
47094,7421,108484,50359,-100866,-115116,Spoofed
47095,7422,108485,50360,-100865,-115115,Spoofed
47096,7423,108486,50361,-100864,-115114,Spoofed
47097,7424,108487,50362,-100863,-115113,Spoofed
47098,7425,108488,50363,-100862,-115112,Spoofed
47099,7426,108489,50364,-100861,-115111,Spoofed
47100,7427,108490,50365,-100860,-115110,Spoofed
47101,7428,108491,50366,-100859,-115109,Spoofed
47102,7429,108492,50367,-100858,-115108,Spoofed
47103,7430,108493,50368,-100857,-115107,Spoofed
47104,7431,108494,50369,-100856,-115106,Spoofed
47105,7432,108495,50370,-100855,-115105,Spoofed
47106,7433,108496,50371,-100854,-115104,Spoofed
47107,7434,108497,50372,-100853,-115103,Spoofed
47108,7435,108498,50373,-100852,-115102,Spoofed
47109,7436,108499,50374,-100851,-115101,Spoofed
47110,7437,108500,50375,-100850,-115100,Spoofed
47111,7438,108501,50376,-100849,-115099,Spoofed
47112,7439,108502,50377,-100848,-115098,Spoofed
47113,7440,108503,50378,-100847,-115097,Spoofed
47114,7441,108504,50379,-100846,-115096,Spoofed
47115,7442,108505,50380,-100845,-115095,Spoofed
47116,7443,108506,50381,-100844,-115094,Spoofed
47117,7444,108507,50382,-100843,-115093,Spoofed
47118,7445,108508,50383,-100842,-115092,Spoofed
47119,7446,108509,50384,-100841,-115091,Spoofed
47120,7447,108510,50385,-100840,-115090,Spoofed
47121,7448,108511,50386,-100839,-115089,Spoofed
47122,7449,108512,50387,-100838,-115088,Spoofed
47123,7450,108513,50388,-100837,-115087,Spoofed
47124,7451,108514,50389,-100836,-115086,Spoofed
47125,7452,108515,50390,-100835,-115085,Spoofed
47126,7453,108516,50391,-100834,-115084,Spoofed
47127,7454,108517,50392,-100833,-115083,Spoofed
47128,7455,108518,50393,-100832,-115082,Spoofed
47129,7456,108519,50394,-100831,-115081,Spoofed
47130,7457,108520,50395,-100830,-115080,Spoofed
47131,7458,108521,50396,-100829,-115079,Spoofed
47132,7459,108522,50397,-100828,-115078,Spoofed
47133,7460,108523,50398,-100827,-115077,Spoofed
47134,7461,108524,50399,-100826,-115076,Spoofed
47135,7462,108525,50400,-100825,-115075,Spoofed
47136,7463,108526,50401,-100824,-115074,Spoofed
47137,7464,108527,50402,-100823,-115073,Spoofed
47138,7465,108528,50403,-100822,-115072,Spoofed
47139,7466,108529,50404,-100821,-115071,Spoofed
47140,7467,108530,50405,-100820,-115070,Spoofed
47141,7468,108531,50406,-100819,-115069,Spoofed
47142,7469,108532,50407,-100818,-115068,Spoofed
47143,7470,108533,50408,-100817,-115067,Spoofed
47144,7471,108534,50409,-100816,-115066,Spoofed
47145,7472,108535,50410,-100815,-115065,Spoofed
47146,7473,108536,50411,-100814,-115064,Spoofed
47147,7474,108537,50412,-100813,-115063,Spoofed
47148,7475,108538,50413,-100812,-115062,Spoofed
47149,7476,108539,50414,-100811,-115061,Spoofed
47150,7477,108540,50415,-100810,-115060,Spoofed
47151,7478,108541,50416,-100809,-115059,Spoofed
47152,7479,108542,50417,-100808,-115058,Spoofed
47153,7480,108543,50418,-100807,-115057,Spoofed
47154,7481,108544,50419,-100806,-115056,Spoofed
47155,7482,108545,50420,-100805,-115055,Spoofed
47156,7483,108546,50421,-100804,-115054,Spoofed
47157,7484,108547,50422,-100803,-115053,Spoofed
47158,7485,108548,50423,-100802,-115052,Spoofed
47159,7486,108549,50424,-100801,-115051,Spoofed
47160,7487,108550,50425,-100800,-115050,Spoofed
47161,7488,108551,50426,-100799,-115049,Spoofed
47162,7489,108552,50427,-100798,-115048,Spoofed
47163,7490,108553,50428,-100797,-115047,Spoofed
47164,7491,108554,50429,-100796,-115046,Spoofed
