I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
-59206,-110081,-311481,-154131,13600,-11567,Spoofed
-59205,-110080,-311480,-154130,13601,-11566,Spoofed
-59204,-110079,-311479,-154129,13602,-11565,Spoofed
-59203,-110078,-311478,-154128,13603,-11564,Spoofed
-59202,-110077,-311477,-154127,13604,-11563,Spoofed
-59201,-110076,-311476,-154126,13605,-11562,Spoofed
-59200,-110075,-311475,-154125,13606,-11561,Spoofed
-59199,-110074,-311474,-154124,13607,-11560,Spoofed
-59198,-110073,-311473,-154123,13608,-11559,Spoofed
-59197,-110072,-311472,-154122,13609,-11558,Spoofed
-59196,-110071,-311471,-154121,13610,-11557,Spoofed
-59195,-110070,-311470,-154120,13611,-11556,Spoofed
-59194,-110069,-311469,-154119,13612,-11555,Spoofed
-59193,-110068,-311468,-154118,13613,-11554,Spoofed
-59192,-110067,-311467,-154117,13614,-11553,Spoofed
-59191,-110066,-311466,-154116,13615,-11552,Spoofed
-59190,-110065,-311465,-154115,13616,-11551,Spoofed
-59189,-110064,-311464,-154114,13617,-11550,Spoofed
-59188,-110063,-311463,-154113,13618,-11549,Spoofed
-59187,-110062,-311462,-154112,13619,-11548,Spoofed
-59186,-110061,-311461,-154111,13620,-11547,Spoofed
-59185,-110060,-311460,-154110,13621,-11546,Spoofed
-59184,-110059,-311459,-154109,13622,-11545,Spoofed
-59183,-110058,-311458,-154108,13623,-11544,Spoofed
-59182,-110057,-311457,-154107,13624,-11543,Spoofed
-59181,-110056,-311456,-154106,13625,-11542,Spoofed
-59180,-110055,-311455,-154105,13626,-11541,Spoofed
-59179,-110054,-311454,-154104,13627,-11540,Spoofed
-59178,-110053,-311453,-154103,13628,-11539,Spoofed
-59177,-110052,-311452,-154102,13629,-11538,Spoofed
-59176,-110051,-311451,-154101,13630,-11537,Spoofed
-59175,-110050,-311450,-154100,13631,-11536,Spoofed
-59174,-110049,-311449,-154099,13632,-11535,Spoofed
-59173,-110048,-311448,-154098,13633,-11534,Spoofed
-59172,-110047,-311447,-154097,13634,-11533,Spoofed
-59171,-110046,-311446,-154096,13635,-11532,Spoofed
-59170,-110045,-311445,-154095,13636,-11531,Spoofed
-59169,-110044,-311444,-154094,13637,-11530,Spoofed
-59168,-110043,-311443,-154093,13638,-11529,Spoofed
-59167,-110042,-311442,-154092,13639,-11528,Spoofed
-59166,-110041,-311441,-154091,13640,-11527,Spoofed
-59165,-110040,-311440,-154090,13641,-11526,Spoofed
-59164,-110039,-311439,-154089,13642,-11525,Spoofed
-59163,-110038,-311438,-154088,13643,-11524,Spoofed
-59162,-110037,-311437,-154087,13644,-11523,Spoofed
-59161,-110036,-311436,-154086,13645,-11522,Spoofed
-59160,-110035,-311435,-154085,13646,-11521,Spoofed
-59159,-110034,-311434,-154084,13647,-11520,Spoofed
-59158,-110033,-311433,-154083,13648,-11519,Spoofed
-59157,-110032,-311432,-154082,13649,-11518,Spoofed
-59156,-110031,-311431,-154081,13650,-11517,Spoofed
-59155,-110030,-311430,-154080,13651,-11516,Spoofed
-59154,-110029,-311429,-154079,13652,-11515,Spoofed
-59153,-110028,-311428,-154078,13653,-11514,Spoofed
-59152,-110027,-311427,-154077,13654,-11513,Spoofed
-59151,-110026,-311426,-154076,13655,-11512,Spoofed
-59150,-110025,-311425,-154075,13656,-11511,Spoofed
-59149,-110024,-311424,-154074,13657,-11510,Spoofed
-59148,-110023,-311423,-154073,13658,-11509,Spoofed
-59147,-110022,-311422,-154072,13659,-11508,Spoofed
-59146,-110021,-311421,-154071,13660,-11507,Spoofed
-59145,-110020,-311420,-154070,13661,-11506,Spoofed
-59144,-110019,-311419,-154069,13662,-11505,Spoofed
-59143,-110018,-311418,-154068,13663,-11504,Spoofed
-59142,-110017,-311417,-154067,13664,-11503,Spoofed
-59141,-110016,-311416,-154066,13665,-11502,Spoofed
-59140,-110015,-311415,-154065,13666,-11501,Spoofed
-59139,-110014,-311414,-154064,13667,-11500,Spoofed
-59138,-110013,-311413,-154063,13668,-11499,Spoofed
-59137,-110012,-311412,-154062,13669,-11498,Spoofed
-59136,-110011,-311411,-154061,13670,-11497,Spoofed
-59135,-110010,-311410,-154060,13671,-11496,Spoofed
-59134,-110009,-311409,-154059,13672,-11495,Spoofed
-59133,-110008,-311408,-154058,13673,-11494,Spoofed
-59132,-110007,-311407,-154057,13674,-11493,Spoofed
-59131,-110006,-311406,-154056,13675,-11492,Spoofed
-59130,-110005,-311405,-154055,13676,-11491,Spoofed
-59129,-110004,-311404,-154054,13677,-11490,Spoofed
-59128,-110003,-311403,-154053,13678,-11489,Spoofed
-59127,-110002,-311402,-154052,13679,-11488,Spoofed
-59126,-110001,-311401,-154051,13680,-11487,Spoofed
-59125,-110000,-311400,-154050,13681,-11486,Spoofed
-59124,-109999,-311399,-154049,13682,-11485,Spoofed
-59123,-109998,-311398,-154048,13683,-11484,Spoofed
-59122,-109997,-311397,-154047,13684,-11483,Spoofed
-59121,-109996,-311396,-154046,13685,-11482,Spoofed
-59120,-109995,-311395,-154045,13686,-11481,Spoofed
-59119,-109994,-311394,-154044,13687,-11480,Spoofed
-59118,-109993,-311393,-154043,13688,-11479,Spoofed
-59117,-109992,-311392,-154042,13689,-11478,Spoofed
-59116,-109991,-311391,-154041,13690,-11477,Spoofed
-59115,-109990,-311390,-154040,13691,-11476,Spoofed
-59114,-109989,-311389,-154039,13692,-11475,Spoofed
-59113,-109988,-311388,-154038,13693,-11474,Spoofed
-59112,-109987,-311387,-154037,13694,-11473,Spoofed
-59111,-109986,-311386,-154036,13695,-11472,Spoofed
-59110,-109985,-311385,-154035,13696,-11471,Spoofed
-59109,-109984,-311384,-154034,13697,-11470,Spoofed
-59108,-109983,-311383,-154033,13698,-11469,Spoofed
-59107,-109982,-311382,-154032,13699,-11468,Spoofed
-59106,-109981,-311381,-154031,13700,-11467,Spoofed
-59105,-109980,-311380,-154030,13701,-11466,Spoofed
-59104,-109979,-311379,-154029,13702,-11465,Spoofed
-59103,-109978,-311378,-154028,13703,-11464,Spoofed
-59102,-109977,-311377,-154027,13704,-11463,Spoofed
-59101,-109976,-311376,-154026,13705,-11462,Spoofed
-59100,-109975,-311375,-154025,13706,-11461,Spoofed
-59099,-109974,-311374,-154024,13707,-11460,Spoofed
-59098,-109973,-311373,-154023,13708,-11459,Spoofed
-59097,-109972,-311372,-154022,13709,-11458,Spoofed
-59096,-109971,-311371,-154021,13710,-11457,Spoofed
-59095,-109970,-311370,-154020,13711,-11456,Spoofed
-59094,-109969,-311369,-154019,13712,-11455,Spoofed
-59093,-109968,-311368,-154018,13713,-11454,Spoofed
-59092,-109967,-311367,-154017,13714,-11453,Spoofed
-59091,-109966,-311366,-154016,13715,-11452,Spoofed
-59090,-109965,-311365,-154015,13716,-11451,Spoofed
-59089,-109964,-311364,-154014,13717,-11450,Spoofed
-59088,-109963,-311363,-154013,13718,-11449,Spoofed
-59087,-109962,-311362,-154012,13719,-11448,Spoofed
-59086,-109961,-311361,-154011,13720,-11447,Spoofed
-59085,-109960,-311360,-154010,13721,-11446,Spoofed
-59084,-109959,-311359,-154009,13722,-11445,Spoofed
-59083,-109958,-311358,-154008,13723,-11444,Spoofed
-59082,-109957,-311357,-154007,13724,-11443,Spoofed
-59081,-109956,-311356,-154006,13725,-11442,Spoofed
-59080,-109955,-311355,-154005,13726,-11441,Spoofed
-59079,-109954,-311354,-154004,13727,-11440,Spoofed
-59078,-109953,-311353,-154003,13728,-11439,Spoofed
-59077,-109952,-311352,-154002,13729,-11438,Spoofed
-59076,-109951,-311351,-154001,13730,-11437,Spoofed
-59075,-109950,-311350,-154000,13731,-11436,Spoofed
-59074,-109949,-311349,-153999,13732,-11435,Spoofed
-59073,-109948,-311348,-153998,13733,-11434,Spoofed
-59072,-109947,-311347,-153997,13734,-11433,Spoofed
-59071,-109946,-311346,-153996,13735,-11432,Spoofed
-59070,-109945,-311345,-153995,13736,-11431,Spoofed
-59069,-109944,-311344,-153994,13737,-11430,Spoofed
-59068,-109943,-311343,-153993,13738,-11429,Spoofed
-59067,-109942,-311342,-153992,13739,-11428,Spoofed
-59066,-109941,-311341,-153991,13740,-11427,Spoofed
-59065,-109940,-311340,-153990,13741,-11426,Spoofed
-59064,-109939,-311339,-153989,13742,-11425,Spoofed
-59063,-109938,-311338,-153988,13743,-11424,Spoofed
-59062,-109937,-311337,-153987,13744,-11423,Spoofed
-59061,-109936,-311336,-153986,13745,-11422,Spoofed
-59060,-109935,-311335,-153985,13746,-11421,Spoofed
-59059,-109934,-311334,-153984,13747,-11420,Spoofed
-59058,-109933,-311333,-153983,13748,-11419,Spoofed
-59057,-109932,-311332,-153982,13749,-11418,Spoofed
-59056,-109931,-311331,-153981,13750,-11417,Spoofed
-59055,-109930,-311330,-153980,13751,-11416,Spoofed
-59054,-109929,-311329,-153979,13752,-11415,Spoofed
-59053,-109928,-311328,-153978,13753,-11414,Spoofed
-59052,-109927,-311327,-153977,13754,-11413,Spoofed
-59051,-109926,-311326,-153976,13755,-11412,Spoofed
-59050,-109925,-311325,-153975,13756,-11411,Spoofed
-59049,-109924,-311324,-153974,13757,-11410,Spoofed
-59048,-109923,-311323,-153973,13758,-11409,Spoofed
-59047,-109922,-311322,-153972,13759,-11408,Spoofed
-59046,-109921,-311321,-153971,13760,-11407,Spoofed
-59045,-109920,-311320,-153970,13761,-11406,Spoofed
-59044,-109919,-311319,-153969,13762,-11405,Spoofed
-59043,-109918,-311318,-153968,13763,-11404,Spoofed
-59042,-109917,-311317,-153967,13764,-11403,Spoofed
-59041,-109916,-311316,-153966,13765,-11402,Spoofed
-59040,-109915,-311315,-153965,13766,-11401,Spoofed
-59039,-109914,-311314,-153964,13767,-11400,Spoofed
-59038,-109913,-311313,-153963,13768,-11399,Spoofed
-59037,-109912,-311312,-153962,13769,-11398,Spoofed
-59036,-109911,-311311,-153961,13770,-11397,Spoofed
-59035,-109910,-311310,-153960,13771,-11396,Spoofed
-59034,-109909,-311309,-153959,13772,-11395,Spoofed
-59033,-109908,-311308,-153958,13773,-11394,Spoofed
-59032,-109907,-311307,-153957,13774,-11393,Spoofed
-59031,-109906,-311306,-153956,13775,-11392,Spoofed
-59030,-109905,-311305,-153955,13776,-11391,Spoofed
-59029,-109904,-311304,-153954,13777,-11390,Spoofed
-59028,-109903,-311303,-153953,13778,-11389,Spoofed
-59027,-109902,-311302,-153952,13779,-11388,Spoofed
-59026,-109901,-311301,-153951,13780,-11387,Spoofed
-59025,-109900,-311300,-153950,13781,-11386,Spoofed
-59024,-109899,-311299,-153949,13782,-11385,Spoofed
-59023,-109898,-311298,-153948,13783,-11384,Spoofed
-59022,-109897,-311297,-153947,13784,-11383,Spoofed
-59021,-109896,-311296,-153946,13785,-11382,Spoofed
-59020,-109895,-311295,-153945,13786,-11381,Spoofed
-59019,-109894,-311294,-153944,13787,-11380,Spoofed
-59018,-109893,-311293,-153943,13788,-11379,Spoofed
-59017,-109892,-311292,-153942,13789,-11378,Spoofed
-59016,-109891,-311291,-153941,13790,-11377,Spoofed
-59015,-109890,-311290,-153940,13791,-11376,Spoofed
-59014,-109889,-311289,-153939,13792,-11375,Spoofed
-59013,-109888,-311288,-153938,13793,-11374,Spoofed
-59012,-109887,-311287,-153937,13794,-11373,Spoofed
-59011,-109886,-311286,-153936,13795,-11372,Spoofed
-59010,-109885,-311285,-153935,13796,-11371,Spoofed
-59009,-109884,-311284,-153934,13797,-11370,Spoofed
-59008,-109883,-311283,-153933,13798,-11369,Spoofed
-59007,-109882,-311282,-153932,13799,-11368,Spoofed
-59006,-109881,-311281,-153931,13800,-11367,Spoofed
-59005,-109880,-311280,-153930,13801,-11366,Spoofed
-59004,-109879,-311279,-153929,13802,-11365,Spoofed
-59003,-109878,-311278,-153928,13803,-11364,Spoofed
-59002,-109877,-311277,-153927,13804,-11363,Spoofed
-59001,-109876,-311276,-153926,13805,-11362,Spoofed
-59000,-109875,-311275,-153925,13806,-11361,Spoofed
-58999,-109874,-311274,-153924,13807,-11360,Spoofed
-58998,-109873,-311273,-153923,13808,-11359,Spoofed
-58997,-109872,-311272,-153922,13809,-11358,Spoofed
-58996,-109871,-311271,-153921,13810,-11357,Spoofed
-58995,-109870,-311270,-153920,13811,-11356,Spoofed
-58994,-109869,-311269,-153919,13812,-11355,Spoofed
-58993,-109868,-311268,-153918,13813,-11354,Spoofed
-58992,-109867,-311267,-153917,13814,-11353,Spoofed
-58991,-109866,-311266,-153916,13815,-11352,Spoofed
-58990,-109865,-311265,-153915,13816,-11351,Spoofed
-58989,-109864,-311264,-153914,13817,-11350,Spoofed
-58988,-109863,-311263,-153913,13818,-11349,Spoofed
-58987,-109862,-311262,-153912,13819,-11348,Spoofed
-58986,-109861,-311261,-153911,13820,-11347,Spoofed
-58985,-109860,-311260,-153910,13821,-11346,Spoofed
-58984,-109859,-311259,-153909,13822,-11345,Spoofed
-58983,-109858,-311258,-153908,13823,-11344,Spoofed
-58982,-109857,-311257,-153907,13824,-11343,Spoofed
-58981,-109856,-311256,-153906,13825,-11342,Spoofed
-58980,-109855,-311255,-153905,13826,-11341,Spoofed
-58979,-109854,-311254,-153904,13827,-11340,Spoofed
-58978,-109853,-311253,-153903,13828,-11339,Spoofed
-58977,-109852,-311252,-153902,13829,-11338,Spoofed
-58976,-109851,-311251,-153901,13830,-11337,Spoofed
-58975,-109850,-311250,-153900,13831,-11336,Spoofed
-58974,-109849,-311249,-153899,13832,-11335,Spoofed
-58973,-109848,-311248,-153898,13833,-11334,Spoofed
-58972,-109847,-311247,-153897,13834,-11333,Spoofed
-58971,-109846,-311246,-153896,13835,-11332,Spoofed
-58970,-109845,-311245,-153895,13836,-11331,Spoofed
-58969,-109844,-311244,-153894,13837,-11330,Spoofed
-58968,-109843,-311243,-153893,13838,-11329,Spoofed
-58967,-109842,-311242,-153892,13839,-11328,Spoofed
-58966,-109841,-311241,-153891,13840,-11327,Spoofed
-58965,-109840,-311240,-153890,13841,-11326,Spoofed
-58964,-109839,-311239,-153889,13842,-11325,Spoofed
-58963,-109838,-311238,-153888,13843,-11324,Spoofed
-58962,-109837,-311237,-153887,13844,-11323,Spoofed
-58961,-109836,-311236,-153886,13845,-11322,Spoofed
-58960,-109835,-311235,-153885,13846,-11321,Spoofed
-58959,-109834,-311234,-153884,13847,-11320,Spoofed
-58958,-109833,-311233,-153883,13848,-11319,Spoofed
-58957,-109832,-311232,-153882,13849,-11318,Spoofed
-58956,-109831,-311231,-153881,13850,-11317,Spoofed
-58955,-109830,-311230,-153880,13851,-11316,Spoofed
-58954,-109829,-311229,-153879,13852,-11315,Spoofed
-58953,-109828,-311228,-153878,13853,-11314,Spoofed
-58952,-109827,-311227,-153877,13854,-11313,Spoofed
-58951,-109826,-311226,-153876,13855,-11312,Spoofed
-58950,-109825,-311225,-153875,13856,-11311,Spoofed
-58949,-109824,-311224,-153874,13857,-11310,Spoofed
-58948,-109823,-311223,-153873,13858,-11309,Spoofed
-58947,-109822,-311222,-153872,13859,-11308,Spoofed
-58946,-109821,-311221,-153871,13860,-11307,Spoofed
-58945,-109820,-311220,-153870,13861,-11306,Spoofed
-58944,-109819,-311219,-153869,13862,-11305,Spoofed
-58943,-109818,-311218,-153868,13863,-11304,Spoofed
-58942,-109817,-311217,-153867,13864,-11303,Spoofed
-58941,-109816,-311216,-153866,13865,-11302,Spoofed
-58940,-109815,-311215,-153865,13866,-11301,Spoofed
-58939,-109814,-311214,-153864,13867,-11300,Spoofed
-58938,-109813,-311213,-153863,13868,-11299,Spoofed
-58937,-109812,-311212,-153862,13869,-11298,Spoofed
-58936,-109811,-311211,-153861,13870,-11297,Spoofed
-58935,-109810,-311210,-153860,13871,-11296,Spoofed
-58934,-109809,-311209,-153859,13872,-11295,Spoofed
-58933,-109808,-311208,-153858,13873,-11294,Spoofed
-58932,-109807,-311207,-153857,13874,-11293,Spoofed
-58931,-109806,-311206,-153856,13875,-11292,Spoofed
-58930,-109805,-311205,-153855,13876,-11291,Spoofed
-58929,-109804,-311204,-153854,13877,-11290,Spoofed
-58928,-109803,-311203,-153853,13878,-11289,Spoofed
-58927,-109802,-311202,-153852,13879,-11288,Spoofed
-58926,-109801,-311201,-153851,13880,-11287,Spoofed
-58925,-109800,-311200,-153850,13881,-11286,Spoofed
-58924,-109799,-311199,-153849,13882,-11285,Spoofed
-58923,-109798,-311198,-153848,13883,-11284,Spoofed
-58922,-109797,-311197,-153847,13884,-11283,Spoofed
-58921,-109796,-311196,-153846,13885,-11282,Spoofed
-58920,-109795,-311195,-153845,13886,-11281,Spoofed
-58919,-109794,-311194,-153844,13887,-11280,Spoofed
-58918,-109793,-311193,-153843,13888,-11279,Spoofed
-58917,-109792,-311192,-153842,13889,-11278,Spoofed
-58916,-109791,-311191,-153841,13890,-11277,Spoofed
-58915,-109790,-311190,-153840,13891,-11276,Spoofed
-58914,-109789,-311189,-153839,13892,-11275,Spoofed
-58913,-109788,-311188,-153838,13893,-11274,Spoofed
-58912,-109787,-311187,-153837,13894,-11273,Spoofed
-58911,-109786,-311186,-153836,13895,-11272,Spoofed
-58910,-109785,-311185,-153835,13896,-11271,Spoofed
-58909,-109784,-311184,-153834,13897,-11270,Spoofed
-58908,-109783,-311183,-153833,13898,-11269,Spoofed
-58907,-109782,-311182,-153832,13899,-11268,Spoofed
-58906,-109781,-311181,-153831,13900,-11267,Spoofed
-58905,-109780,-311180,-153830,13901,-11266,Spoofed
-58904,-109779,-311179,-153829,13902,-11265,Spoofed
-58903,-109778,-311178,-153828,13903,-11264,Spoofed
-58902,-109777,-311177,-153827,13904,-11263,Spoofed
-58901,-109776,-311176,-153826,13905,-11262,Spoofed
-58900,-109775,-311175,-153825,13906,-11261,Spoofed
-58899,-109774,-311174,-153824,13907,-11260,Spoofed
-58898,-109773,-311173,-153823,13908,-11259,Spoofed
-58897,-109772,-311172,-153822,13909,-11258,Spoofed
-58896,-109771,-311171,-153821,13910,-11257,Spoofed
-58895,-109770,-311170,-153820,13911,-11256,Spoofed
-58894,-109769,-311169,-153819,13912,-11255,Spoofed
-58893,-109768,-311168,-153818,13913,-11254,Spoofed
-58892,-109767,-311167,-153817,13914,-11253,Spoofed
-58891,-109766,-311166,-153816,13915,-11252,Spoofed
-58890,-109765,-311165,-153815,13916,-11251,Spoofed
-58889,-109764,-311164,-153814,13917,-11250,Spoofed
-58888,-109763,-311163,-153813,13918,-11249,Spoofed
-58887,-109762,-311162,-153812,13919,-11248,Spoofed
-58886,-109761,-311161,-153811,13920,-11247,Spoofed
-58885,-109760,-311160,-153810,13921,-11246,Spoofed
-58884,-109759,-311159,-153809,13922,-11245,Spoofed
-58883,-109758,-311158,-153808,13923,-11244,Spoofed
-58882,-109757,-311157,-153807,13924,-11243,Spoofed
-58881,-109756,-311156,-153806,13925,-11242,Spoofed
-58880,-109755,-311155,-153805,13926,-11241,Spoofed
-58879,-109754,-311154,-153804,13927,-11240,Spoofed
-58878,-109753,-311153,-153803,13928,-11239,Spoofed
-58877,-109752,-311152,-153802,13929,-11238,Spoofed
-58876,-109751,-311151,-153801,13930,-11237,Spoofed
-58875,-109750,-311150,-153800,13931,-11236,Spoofed
-58874,-109749,-311149,-153799,13932,-11235,Spoofed
-58873,-109748,-311148,-153798,13933,-11234,Spoofed
-58872,-109747,-311147,-153797,13934,-11233,Spoofed
-58871,-109746,-311146,-153796,13935,-11232,Spoofed
-58870,-109745,-311145,-153795,13936,-11231,Spoofed
-58869,-109744,-311144,-153794,13937,-11230,Spoofed
-58868,-109743,-311143,-153793,13938,-11229,Spoofed
-58867,-109742,-311142,-153792,13939,-11228,Spoofed
-58866,-109741,-311141,-153791,13940,-11227,Spoofed
-58865,-109740,-311140,-153790,13941,-11226,Spoofed
-58864,-109739,-311139,-153789,13942,-11225,Spoofed
-58863,-109738,-311138,-153788,13943,-11224,Spoofed
-58862,-109737,-311137,-153787,13944,-11223,Spoofed
-58861,-109736,-311136,-153786,13945,-11222,Spoofed
-58860,-109735,-311135,-153785,13946,-11221,Spoofed
-58859,-109734,-311134,-153784,13947,-11220,Spoofed
-58858,-109733,-311133,-153783,13948,-11219,Spoofed
-58857,-109732,-311132,-153782,13949,-11218,Spoofed
-58856,-109731,-311131,-153781,13950,-11217,Spoofed
-58855,-109730,-311130,-153780,13951,-11216,Spoofed
-58854,-109729,-311129,-153779,13952,-11215,Spoofed
-58853,-109728,-311128,-153778,13953,-11214,Spoofed
-58852,-109727,-311127,-153777,13954,-11213,Spoofed
-58851,-109726,-311126,-153776,13955,-11212,Spoofed
-58850,-109725,-311125,-153775,13956,-11211,Spoofed
-58849,-109724,-311124,-153774,13957,-11210,Spoofed
-58848,-109723,-311123,-153773,13958,-11209,Spoofed
-58847,-109722,-311122,-153772,13959,-11208,Spoofed
-58846,-109721,-311121,-153771,13960,-11207,Spoofed
