I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
18896,-103212,-55138,-16721,-53621,-117712,Spoofed
18897,-103211,-55137,-16720,-53620,-117711,Spoofed
18898,-103210,-55136,-16719,-53619,-117710,Spoofed
18899,-103209,-55135,-16718,-53618,-117709,Spoofed
18900,-103208,-55134,-16717,-53617,-117708,Spoofed
18901,-103207,-55133,-16716,-53616,-117707,Spoofed
18902,-103206,-55132,-16715,-53615,-117706,Spoofed
18903,-103205,-55131,-16714,-53614,-117705,Spoofed
18904,-103204,-55130,-16713,-53613,-117704,Spoofed
18905,-103203,-55129,-16712,-53612,-117703,Spoofed
18906,-103202,-55128,-16711,-53611,-117702,Spoofed
18907,-103201,-55127,-16710,-53610,-117701,Spoofed
18908,-103200,-55126,-16709,-53609,-117700,Spoofed
18909,-103199,-55125,-16708,-53608,-117699,Spoofed
18910,-103198,-55124,-16707,-53607,-117698,Spoofed
18911,-103197,-55123,-16706,-53606,-117697,Spoofed
18912,-103196,-55122,-16705,-53605,-117696,Spoofed
18913,-103195,-55121,-16704,-53604,-117695,Spoofed
18914,-103194,-55120,-16703,-53603,-117694,Spoofed
18915,-103193,-55119,-16702,-53602,-117693,Spoofed
18916,-103192,-55118,-16701,-53601,-117692,Spoofed
18917,-103191,-55117,-16700,-53600,-117691,Spoofed
18918,-103190,-55116,-16699,-53599,-117690,Spoofed
18919,-103189,-55115,-16698,-53598,-117689,Spoofed
18920,-103188,-55114,-16697,-53597,-117688,Spoofed
18921,-103187,-55113,-16696,-53596,-117687,Spoofed
18922,-103186,-55112,-16695,-53595,-117686,Spoofed
18923,-103185,-55111,-16694,-53594,-117685,Spoofed
18924,-103184,-55110,-16693,-53593,-117684,Spoofed
18925,-103183,-55109,-16692,-53592,-117683,Spoofed
18926,-103182,-55108,-16691,-53591,-117682,Spoofed
18927,-103181,-55107,-16690,-53590,-117681,Spoofed
18928,-103180,-55106,-16689,-53589,-117680,Spoofed
18929,-103179,-55105,-16688,-53588,-117679,Spoofed
18930,-103178,-55104,-16687,-53587,-117678,Spoofed
18931,-103177,-55103,-16686,-53586,-117677,Spoofed
18932,-103176,-55102,-16685,-53585,-117676,Spoofed
18933,-103175,-55101,-16684,-53584,-117675,Spoofed
18934,-103174,-55100,-16683,-53583,-117674,Spoofed
18935,-103173,-55099,-16682,-53582,-117673,Spoofed
18936,-103172,-55098,-16681,-53581,-117672,Spoofed
18937,-103171,-55097,-16680,-53580,-117671,Spoofed
18938,-103170,-55096,-16679,-53579,-117670,Spoofed
18939,-103169,-55095,-16678,-53578,-117669,Spoofed
18940,-103168,-55094,-16677,-53577,-117668,Spoofed
18941,-103167,-55093,-16676,-53576,-117667,Spoofed
18942,-103166,-55092,-16675,-53575,-117666,Spoofed
18943,-103165,-55091,-16674,-53574,-117665,Spoofed
18944,-103164,-55090,-16673,-53573,-117664,Spoofed
18945,-103163,-55089,-16672,-53572,-117663,Spoofed
18946,-103162,-55088,-16671,-53571,-117662,Spoofed
18947,-103161,-55087,-16670,-53570,-117661,Spoofed
18948,-103160,-55086,-16669,-53569,-117660,Spoofed
18949,-103159,-55085,-16668,-53568,-117659,Spoofed
18950,-103158,-55084,-16667,-53567,-117658,Spoofed
18951,-103157,-55083,-16666,-53566,-117657,Spoofed
18952,-103156,-55082,-16665,-53565,-117656,Spoofed
18953,-103155,-55081,-16664,-53564,-117655,Spoofed
18954,-103154,-55080,-16663,-53563,-117654,Spoofed
18955,-103153,-55079,-16662,-53562,-117653,Spoofed
18956,-103152,-55078,-16661,-53561,-117652,Spoofed
18957,-103151,-55077,-16660,-53560,-117651,Spoofed
18958,-103150,-55076,-16659,-53559,-117650,Spoofed
18959,-103149,-55075,-16658,-53558,-117649,Spoofed
18960,-103148,-55074,-16657,-53557,-117648,Spoofed
18961,-103147,-55073,-16656,-53556,-117647,Spoofed
18962,-103146,-55072,-16655,-53555,-117646,Spoofed
18963,-103145,-55071,-16654,-53554,-117645,Spoofed
18964,-103144,-55070,-16653,-53553,-117644,Spoofed
18965,-103143,-55069,-16652,-53552,-117643,Spoofed
18966,-103142,-55068,-16651,-53551,-117642,Spoofed
18967,-103141,-55067,-16650,-53550,-117641,Spoofed
18968,-103140,-55066,-16649,-53549,-117640,Spoofed
18969,-103139,-55065,-16648,-53548,-117639,Spoofed
18970,-103138,-55064,-16647,-53547,-117638,Spoofed
18971,-103137,-55063,-16646,-53546,-117637,Spoofed
18972,-103136,-55062,-16645,-53545,-117636,Spoofed
18973,-103135,-55061,-16644,-53544,-117635,Spoofed
18974,-103134,-55060,-16643,-53543,-117634,Spoofed
18975,-103133,-55059,-16642,-53542,-117633,Spoofed
18976,-103132,-55058,-16641,-53541,-117632,Spoofed
18977,-103131,-55057,-16640,-53540,-117631,Spoofed
18978,-103130,-55056,-16639,-53539,-117630,Spoofed
18979,-103129,-55055,-16638,-53538,-117629,Spoofed
18980,-103128,-55054,-16637,-53537,-117628,Spoofed
18981,-103127,-55053,-16636,-53536,-117627,Spoofed
18982,-103126,-55052,-16635,-53535,-117626,Spoofed
18983,-103125,-55051,-16634,-53534,-117625,Spoofed
18984,-103124,-55050,-16633,-53533,-117624,Spoofed
18985,-103123,-55049,-16632,-53532,-117623,Spoofed
18986,-103122,-55048,-16631,-53531,-117622,Spoofed
18987,-103121,-55047,-16630,-53530,-117621,Spoofed
18988,-103120,-55046,-16629,-53529,-117620,Spoofed
18989,-103119,-55045,-16628,-53528,-117619,Spoofed
18990,-103118,-55044,-16627,-53527,-117618,Spoofed
18991,-103117,-55043,-16626,-53526,-117617,Spoofed
18992,-103116,-55042,-16625,-53525,-117616,Spoofed
18993,-103115,-55041,-16624,-53524,-117615,Spoofed
18994,-103114,-55040,-16623,-53523,-117614,Spoofed
18995,-103113,-55039,-16622,-53522,-117613,Spoofed
18996,-103112,-55038,-16621,-53521,-117612,Spoofed
18997,-103111,-55037,-16620,-53520,-117611,Spoofed
18998,-103110,-55036,-16619,-53519,-117610,Spoofed
18999,-103109,-55035,-16618,-53518,-117609,Spoofed
19000,-103108,-55034,-16617,-53517,-117608,Spoofed
19001,-103107,-55033,-16616,-53516,-117607,Spoofed
19002,-103106,-55032,-16615,-53515,-117606,Spoofed
19003,-103105,-55031,-16614,-53514,-117605,Spoofed
19004,-103104,-55030,-16613,-53513,-117604,Spoofed
19005,-103103,-55029,-16612,-53512,-117603,Spoofed
19006,-103102,-55028,-16611,-53511,-117602,Spoofed
19007,-103101,-55027,-16610,-53510,-117601,Spoofed
19008,-103100,-55026,-16609,-53509,-117600,Spoofed
19009,-103099,-55025,-16608,-53508,-117599,Spoofed
19010,-103098,-55024,-16607,-53507,-117598,Spoofed
19011,-103097,-55023,-16606,-53506,-117597,Spoofed
19012,-103096,-55022,-16605,-53505,-117596,Spoofed
19013,-103095,-55021,-16604,-53504,-117595,Spoofed
19014,-103094,-55020,-16603,-53503,-117594,Spoofed
19015,-103093,-55019,-16602,-53502,-117593,Spoofed
19016,-103092,-55018,-16601,-53501,-117592,Spoofed
19017,-103091,-55017,-16600,-53500,-117591,Spoofed
19018,-103090,-55016,-16599,-53499,-117590,Spoofed
19019,-103089,-55015,-16598,-53498,-117589,Spoofed
19020,-103088,-55014,-16597,-53497,-117588,Spoofed
19021,-103087,-55013,-16596,-53496,-117587,Spoofed
19022,-103086,-55012,-16595,-53495,-117586,Spoofed
19023,-103085,-55011,-16594,-53494,-117585,Spoofed
19024,-103084,-55010,-16593,-53493,-117584,Spoofed
19025,-103083,-55009,-16592,-53492,-117583,Spoofed
19026,-103082,-55008,-16591,-53491,-117582,Spoofed
19027,-103081,-55007,-16590,-53490,-117581,Spoofed
19028,-103080,-55006,-16589,-53489,-117580,Spoofed
19029,-103079,-55005,-16588,-53488,-117579,Spoofed
19030,-103078,-55004,-16587,-53487,-117578,Spoofed
19031,-103077,-55003,-16586,-53486,-117577,Spoofed
19032,-103076,-55002,-16585,-53485,-117576,Spoofed
19033,-103075,-55001,-16584,-53484,-117575,Spoofed
19034,-103074,-55000,-16583,-53483,-117574,Spoofed
19035,-103073,-54999,-16582,-53482,-117573,Spoofed
19036,-103072,-54998,-16581,-53481,-117572,Spoofed
19037,-103071,-54997,-16580,-53480,-117571,Spoofed
19038,-103070,-54996,-16579,-53479,-117570,Spoofed
19039,-103069,-54995,-16578,-53478,-117569,Spoofed
19040,-103068,-54994,-16577,-53477,-117568,Spoofed
19041,-103067,-54993,-16576,-53476,-117567,Spoofed
19042,-103066,-54992,-16575,-53475,-117566,Spoofed
19043,-103065,-54991,-16574,-53474,-117565,Spoofed
19044,-103064,-54990,-16573,-53473,-117564,Spoofed
19045,-103063,-54989,-16572,-53472,-117563,Spoofed
19046,-103062,-54988,-16571,-53471,-117562,Spoofed
19047,-103061,-54987,-16570,-53470,-117561,Spoofed
19048,-103060,-54986,-16569,-53469,-117560,Spoofed
19049,-103059,-54985,-16568,-53468,-117559,Spoofed
19050,-103058,-54984,-16567,-53467,-117558,Spoofed
19051,-103057,-54983,-16566,-53466,-117557,Spoofed
19052,-103056,-54982,-16565,-53465,-117556,Spoofed
19053,-103055,-54981,-16564,-53464,-117555,Spoofed
19054,-103054,-54980,-16563,-53463,-117554,Spoofed
19055,-103053,-54979,-16562,-53462,-117553,Spoofed
19056,-103052,-54978,-16561,-53461,-117552,Spoofed
19057,-103051,-54977,-16560,-53460,-117551,Spoofed
19058,-103050,-54976,-16559,-53459,-117550,Spoofed
19059,-103049,-54975,-16558,-53458,-117549,Spoofed
19060,-103048,-54974,-16557,-53457,-117548,Spoofed
19061,-103047,-54973,-16556,-53456,-117547,Spoofed
19062,-103046,-54972,-16555,-53455,-117546,Spoofed
19063,-103045,-54971,-16554,-53454,-117545,Spoofed
19064,-103044,-54970,-16553,-53453,-117544,Spoofed
19065,-103043,-54969,-16552,-53452,-117543,Spoofed
19066,-103042,-54968,-16551,-53451,-117542,Spoofed
19067,-103041,-54967,-16550,-53450,-117541,Spoofed
19068,-103040,-54966,-16549,-53449,-117540,Spoofed
19069,-103039,-54965,-16548,-53448,-117539,Spoofed
19070,-103038,-54964,-16547,-53447,-117538,Spoofed
19071,-103037,-54963,-16546,-53446,-117537,Spoofed
19072,-103036,-54962,-16545,-53445,-117536,Spoofed
19073,-103035,-54961,-16544,-53444,-117535,Spoofed
19074,-103034,-54960,-16543,-53443,-117534,Spoofed
19075,-103033,-54959,-16542,-53442,-117533,Spoofed
19076,-103032,-54958,-16541,-53441,-117532,Spoofed
19077,-103031,-54957,-16540,-53440,-117531,Spoofed
19078,-103030,-54956,-16539,-53439,-117530,Spoofed
19079,-103029,-54955,-16538,-53438,-117529,Spoofed
19080,-103028,-54954,-16537,-53437,-117528,Spoofed
19081,-103027,-54953,-16536,-53436,-117527,Spoofed
19082,-103026,-54952,-16535,-53435,-117526,Spoofed
19083,-103025,-54951,-16534,-53434,-117525,Spoofed
19084,-103024,-54950,-16533,-53433,-117524,Spoofed
19085,-103023,-54949,-16532,-53432,-117523,Spoofed
19086,-103022,-54948,-16531,-53431,-117522,Spoofed
19087,-103021,-54947,-16530,-53430,-117521,Spoofed
19088,-103020,-54946,-16529,-53429,-117520,Spoofed
19089,-103019,-54945,-16528,-53428,-117519,Spoofed
19090,-103018,-54944,-16527,-53427,-117518,Spoofed
19091,-103017,-54943,-16526,-53426,-117517,Spoofed
19092,-103016,-54942,-16525,-53425,-117516,Spoofed
19093,-103015,-54941,-16524,-53424,-117515,Spoofed
19094,-103014,-54940,-16523,-53423,-117514,Spoofed
19095,-103013,-54939,-16522,-53422,-117513,Spoofed
19096,-103012,-54938,-16521,-53421,-117512,Spoofed
19097,-103011,-54937,-16520,-53420,-117511,Spoofed
19098,-103010,-54936,-16519,-53419,-117510,Spoofed
19099,-103009,-54935,-16518,-53418,-117509,Spoofed
19100,-103008,-54934,-16517,-53417,-117508,Spoofed
19101,-103007,-54933,-16516,-53416,-117507,Spoofed
19102,-103006,-54932,-16515,-53415,-117506,Spoofed
19103,-103005,-54931,-16514,-53414,-117505,Spoofed
19104,-103004,-54930,-16513,-53413,-117504,Spoofed
19105,-103003,-54929,-16512,-53412,-117503,Spoofed
19106,-103002,-54928,-16511,-53411,-117502,Spoofed
19107,-103001,-54927,-16510,-53410,-117501,Spoofed
19108,-103000,-54926,-16509,-53409,-117500,Spoofed
19109,-102999,-54925,-16508,-53408,-117499,Spoofed
19110,-102998,-54924,-16507,-53407,-117498,Spoofed
19111,-102997,-54923,-16506,-53406,-117497,Spoofed
19112,-102996,-54922,-16505,-53405,-117496,Spoofed
19113,-102995,-54921,-16504,-53404,-117495,Spoofed
19114,-102994,-54920,-16503,-53403,-117494,Spoofed
19115,-102993,-54919,-16502,-53402,-117493,Spoofed
19116,-102992,-54918,-16501,-53401,-117492,Spoofed
19117,-102991,-54917,-16500,-53400,-117491,Spoofed
19118,-102990,-54916,-16499,-53399,-117490,Spoofed
19119,-102989,-54915,-16498,-53398,-117489,Spoofed
19120,-102988,-54914,-16497,-53397,-117488,Spoofed
19121,-102987,-54913,-16496,-53396,-117487,Spoofed
19122,-102986,-54912,-16495,-53395,-117486,Spoofed
19123,-102985,-54911,-16494,-53394,-117485,Spoofed
19124,-102984,-54910,-16493,-53393,-117484,Spoofed
19125,-102983,-54909,-16492,-53392,-117483,Spoofed
19126,-102982,-54908,-16491,-53391,-117482,Spoofed
19127,-102981,-54907,-16490,-53390,-117481,Spoofed
19128,-102980,-54906,-16489,-53389,-117480,Spoofed
19129,-102979,-54905,-16488,-53388,-117479,Spoofed
19130,-102978,-54904,-16487,-53387,-117478,Spoofed
19131,-102977,-54903,-16486,-53386,-117477,Spoofed
19132,-102976,-54902,-16485,-53385,-117476,Spoofed
19133,-102975,-54901,-16484,-53384,-117475,Spoofed
19134,-102974,-54900,-16483,-53383,-117474,Spoofed
19135,-102973,-54899,-16482,-53382,-117473,Spoofed
19136,-102972,-54898,-16481,-53381,-117472,Spoofed
19137,-102971,-54897,-16480,-53380,-117471,Spoofed
19138,-102970,-54896,-16479,-53379,-117470,Spoofed
19139,-102969,-54895,-16478,-53378,-117469,Spoofed
19140,-102968,-54894,-16477,-53377,-117468,Spoofed
19141,-102967,-54893,-16476,-53376,-117467,Spoofed
19142,-102966,-54892,-16475,-53375,-117466,Spoofed
19143,-102965,-54891,-16474,-53374,-117465,Spoofed
19144,-102964,-54890,-16473,-53373,-117464,Spoofed
19145,-102963,-54889,-16472,-53372,-117463,Spoofed
19146,-102962,-54888,-16471,-53371,-117462,Spoofed
19147,-102961,-54887,-16470,-53370,-117461,Spoofed
19148,-102960,-54886,-16469,-53369,-117460,Spoofed
19149,-102959,-54885,-16468,-53368,-117459,Spoofed
19150,-102958,-54884,-16467,-53367,-117458,Spoofed
19151,-102957,-54883,-16466,-53366,-117457,Spoofed
19152,-102956,-54882,-16465,-53365,-117456,Spoofed
19153,-102955,-54881,-16464,-53364,-117455,Spoofed
19154,-102954,-54880,-16463,-53363,-117454,Spoofed
19155,-102953,-54879,-16462,-53362,-117453,Spoofed
19156,-102952,-54878,-16461,-53361,-117452,Spoofed
19157,-102951,-54877,-16460,-53360,-117451,Spoofed
19158,-102950,-54876,-16459,-53359,-117450,Spoofed
19159,-102949,-54875,-16458,-53358,-117449,Spoofed
19160,-102948,-54874,-16457,-53357,-117448,Spoofed
19161,-102947,-54873,-16456,-53356,-117447,Spoofed
19162,-102946,-54872,-16455,-53355,-117446,Spoofed
19163,-102945,-54871,-16454,-53354,-117445,Spoofed
19164,-102944,-54870,-16453,-53353,-117444,Spoofed
19165,-102943,-54869,-16452,-53352,-117443,Spoofed
19166,-102942,-54868,-16451,-53351,-117442,Spoofed
19167,-102941,-54867,-16450,-53350,-117441,Spoofed
19168,-102940,-54866,-16449,-53349,-117440,Spoofed
19169,-102939,-54865,-16448,-53348,-117439,Spoofed
19170,-102938,-54864,-16447,-53347,-117438,Spoofed
19171,-102937,-54863,-16446,-53346,-117437,Spoofed
19172,-102936,-54862,-16445,-53345,-117436,Spoofed
19173,-102935,-54861,-16444,-53344,-117435,Spoofed
19174,-102934,-54860,-16443,-53343,-117434,Spoofed
19175,-102933,-54859,-16442,-53342,-117433,Spoofed
19176,-102932,-54858,-16441,-53341,-117432,Spoofed
19177,-102931,-54857,-16440,-53340,-117431,Spoofed
19178,-102930,-54856,-16439,-53339,-117430,Spoofed
19179,-102929,-54855,-16438,-53338,-117429,Spoofed
19180,-102928,-54854,-16437,-53337,-117428,Spoofed
19181,-102927,-54853,-16436,-53336,-117427,Spoofed
19182,-102926,-54852,-16435,-53335,-117426,Spoofed
19183,-102925,-54851,-16434,-53334,-117425,Spoofed
19184,-102924,-54850,-16433,-53333,-117424,Spoofed
19185,-102923,-54849,-16432,-53332,-117423,Spoofed
19186,-102922,-54848,-16431,-53331,-117422,Spoofed
19187,-102921,-54847,-16430,-53330,-117421,Spoofed
19188,-102920,-54846,-16429,-53329,-117420,Spoofed
19189,-102919,-54845,-16428,-53328,-117419,Spoofed
19190,-102918,-54844,-16427,-53327,-117418,Spoofed
19191,-102917,-54843,-16426,-53326,-117417,Spoofed
19192,-102916,-54842,-16425,-53325,-117416,Spoofed
19193,-102915,-54841,-16424,-53324,-117415,Spoofed
19194,-102914,-54840,-16423,-53323,-117414,Spoofed
19195,-102913,-54839,-16422,-53322,-117413,Spoofed
19196,-102912,-54838,-16421,-53321,-117412,Spoofed
19197,-102911,-54837,-16420,-53320,-117411,Spoofed
19198,-102910,-54836,-16419,-53319,-117410,Spoofed
19199,-102909,-54835,-16418,-53318,-117409,Spoofed
19200,-102908,-54834,-16417,-53317,-117408,Spoofed
19201,-102907,-54833,-16416,-53316,-117407,Spoofed
19202,-102906,-54832,-16415,-53315,-117406,Spoofed
19203,-102905,-54831,-16414,-53314,-117405,Spoofed
19204,-102904,-54830,-16413,-53313,-117404,Spoofed
19205,-102903,-54829,-16412,-53312,-117403,Spoofed
19206,-102902,-54828,-16411,-53311,-117402,Spoofed
19207,-102901,-54827,-16410,-53310,-117401,Spoofed
19208,-102900,-54826,-16409,-53309,-117400,Spoofed
19209,-102899,-54825,-16408,-53308,-117399,Spoofed
19210,-102898,-54824,-16407,-53307,-117398,Spoofed
19211,-102897,-54823,-16406,-53306,-117397,Spoofed
19212,-102896,-54822,-16405,-53305,-117396,Spoofed
19213,-102895,-54821,-16404,-53304,-117395,Spoofed
19214,-102894,-54820,-16403,-53303,-117394,Spoofed
19215,-102893,-54819,-16402,-53302,-117393,Spoofed
19216,-102892,-54818,-16401,-53301,-117392,Spoofed
19217,-102891,-54817,-16400,-53300,-117391,Spoofed
19218,-102890,-54816,-16399,-53299,-117390,Spoofed
19219,-102889,-54815,-16398,-53298,-117389,Spoofed
19220,-102888,-54814,-16397,-53297,-117388,Spoofed
19221,-102887,-54813,-16396,-53296,-117387,Spoofed
19222,-102886,-54812,-16395,-53295,-117386,Spoofed
19223,-102885,-54811,-16394,-53294,-117385,Spoofed
19224,-102884,-54810,-16393,-53293,-117384,Spoofed
19225,-102883,-54809,-16392,-53292,-117383,Spoofed
19226,-102882,-54808,-16391,-53291,-117382,Spoofed
19227,-102881,-54807,-16390,-53290,-117381,Spoofed
19228,-102880,-54806,-16389,-53289,-117380,Spoofed
19229,-102879,-54805,-16388,-53288,-117379,Spoofed
19230,-102878,-54804,-16387,-53287,-117378,Spoofed
19231,-102877,-54803,-16386,-53286,-117377,Spoofed
19232,-102876,-54802,-16385,-53285,-117376,Spoofed
19233,-102875,-54801,-16384,-53284,-117375,Spoofed
19234,-102874,-54800,-16383,-53283,-117374,Spoofed
19235,-102873,-54799,-16382,-53282,-117373,Spoofed
19236,-102872,-54798,-16381,-53281,-117372,Spoofed
19237,-102871,-54797,-16380,-53280,-117371,Spoofed
19238,-102870,-54796,-16379,-53279,-117370,Spoofed
19239,-102869,-54795,-16378,-53278,-117369,Spoofed
19240,-102868,-54794,-16377,-53277,-117368,Spoofed
19241,-102867,-54793,-16376,-53276,-117367,Spoofed
19242,-102866,-54792,-16375,-53275,-117366,Spoofed
19243,-102865,-54791,-16374,-53274,-117365,Spoofed
19244,-102864,-54790,-16373,-53273,-117364,Spoofed
19245,-102863,-54789,-16372,-53272,-117363,Spoofed
19246,-102862,-54788,-16371,-53271,-117362,Spoofed
19247,-102861,-54787,-16370,-53270,-117361,Spoofed
19248,-102860,-54786,-16369,-53269,-117360,Spoofed
19249,-102859,-54785,-16368,-53268,-117359,Spoofed
19250,-102858,-54784,-16367,-53267,-117358,Spoofed
19251,-102857,-54783,-16366,-53266,-117357,Spoofed
19252,-102856,-54782,-16365,-53265,-117356,Spoofed
19253,-102855,-54781,-16364,-53264,-117355,Spoofed
19254,-102854,-54780,-16363,-53263,-117354,Spoofed
19255,-102853,-54779,-16362,-53262,-117353,Spoofed
19256,-102852,-54778,-16361,-53261,-117352,Spoofed
19257,-102851,-54777,-16360,-53260,-117351,Spoofed
19258,-102850,-54776,-16359,-53259,-117350,Spoofed
19259,-102849,-54775,-16358,-53258,-117349,Spoofed
19260,-102848,-54774,-16357,-53257,-117348,Spoofed
19261,-102847,-54773,-16356,-53256,-117347,Spoofed
19262,-102846,-54772,-16355,-53255,-117346,Spoofed
19263,-102845,-54771,-16354,-53254,-117345,Spoofed
19264,-102844,-54770,-16353,-53253,-117344,Spoofed
19265,-102843,-54769,-16352,-53252,-117343,Spoofed
19266,-102842,-54768,-16351,-53251,-117342,Spoofed
19267,-102841,-54767,-16350,-53250,-117341,Spoofed
19268,-102840,-54766,-16349,-53249,-117340,Spoofed
19269,-102839,-54765,-16348,-53248,-117339,Spoofed
19270,-102838,-54764,-16347,-53247,-117338,Spoofed
19271,-102837,-54763,-16346,-53246,-117337,Spoofed
19272,-102836,-54762,-16345,-53245,-117336,Spoofed
19273,-102835,-54761,-16344,-53244,-117335,Spoofed
19274,-102834,-54760,-16343,-53243,-117334,Spoofed
19275,-102833,-54759,-16342,-53242,-117333,Spoofed
19276,-102832,-54758,-16341,-53241,-117332,Spoofed
19277,-102831,-54757,-16340,-53240,-117331,Spoofed
19278,-102830,-54756,-16339,-53239,-117330,Spoofed
19279,-102829,-54755,-16338,-53238,-117329,Spoofed
19280,-102828,-54754,-16337,-53237,-117328,Spoofed
19281,-102827,-54753,-16336,-53236,-117327,Spoofed
19282,-102826,-54752,-16335,-53235,-117326,Spoofed
19283,-102825,-54751,-16334,-53234,-117325,Spoofed
19284,-102824,-54750,-16333,-53233,-117324,Spoofed
19285,-102823,-54749,-16332,-53232,-117323,Spoofed
19286,-102822,-54748,-16331,-53231,-117322,Spoofed
19287,-102821,-54747,-16330,-53230,-117321,Spoofed
19288,-102820,-54746,-16329,-53229,-117320,Spoofed
19289,-102819,-54745,-16328,-53228,-117319,Spoofed
19290,-102818,-54744,-16327,-53227,-117318,Spoofed
19291,-102817,-54743,-16326,-53226,-117317,Spoofed
19292,-102816,-54742,-16325,-53225,-117316,Spoofed
19293,-102815,-54741,-16324,-53224,-117315,Spoofed
19294,-102814,-54740,-16323,-53223,-117314,Spoofed
19295,-102813,-54739,-16322,-53222,-117313,Spoofed
19296,-102812,-54738,-16321,-53221,-117312,Spoofed
19297,-102811,-54737,-16320,-53220,-117311,Spoofed
